sequence_id	seq_length	orf_start	orf_end	analysis	signature_accession	signature_description	start	end	e-value	interpro_accession	interpro_description	accession
SRR16151768_cap3_Contig-1	103	3318	3626	Pfam	PF07380	Pneumovirus M2 protein	14	102	5.3E-35	IPR009969	Pneumovirus M2-2	orf747
SRR13364363_cap3_Contig-11	88	1187	1450	MobiDBLite	mobidb-lite	consensus disorder prediction	42	77	-	-	-	orf3029
SRR13364363_cap3_Contig-11	88	1187	1450	MobiDBLite	mobidb-lite	consensus disorder prediction	42	88	-	-	-	orf3029
SRR19431078_cap3_Contig-1	569	3559	5265	SUPERFAMILY	SSF161008	Viral glycoprotein ectodomain-like	77	373	3.4E-9	-	-	orf2200
SRR19431078_cap3_Contig-1	618	1719	3572	Gene3D	G3DSA:2.30.29.130	-	202	286	1.3E-9	-	-	orf2188
SRR19431078_cap3_Contig-1	618	1719	3572	Coils	Coil	Coil	618	618	-	-	-	orf2188
SRR19431078_cap3_Contig-1	618	1719	3572	Gene3D	G3DSA:6.10.140.740	-	292	357	2.8E-6	-	-	orf2188
SRR19431078_cap3_Contig-1	618	1719	3572	SUPERFAMILY	SSF161008	Viral glycoprotein ectodomain-like	27	383	1.44E-70	-	-	orf2188
SRR19431078_cap3_Contig-1	618	1719	3572	Pfam	PF00974	Rhabdovirus spike glycoprotein	12	358	1.4E-34	IPR001903	Rhabdovirus  glycoprotein	orf2188
SRR18779479_cap3_Contig-1	311	120	1052	MobiDBLite	mobidb-lite	consensus disorder prediction	255	311	-	-	-	orf276
SRR18779479_cap3_Contig-1	311	120	1052	Pfam	PF16504	Putative virion membrane protein of plant and insect virus	43	192	1.1E-27	IPR032441	Putative virion membrane protein	orf276
SRR18779479_cap3_Contig-1	311	120	1052	MobiDBLite	mobidb-lite	consensus disorder prediction	296	311	-	-	-	orf276
SRR16151768_cap3_Contig-1	128	232	615	MobiDBLite	mobidb-lite	consensus disorder prediction	69	97	-	-	-	orf717
SRR16151768_cap3_Contig-1	128	232	615	MobiDBLite	mobidb-lite	consensus disorder prediction	106	128	-	-	-	orf717
SRR16151768_cap3_Contig-1	128	232	615	MobiDBLite	mobidb-lite	consensus disorder prediction	1	47	-	-	-	orf717
SRR16151768_cap3_Contig-1	128	232	615	MobiDBLite	mobidb-lite	consensus disorder prediction	59	128	-	-	-	orf717
SRR12430148_cap3_Contig-1	276	2	829	MobiDBLite	mobidb-lite	consensus disorder prediction	186	231	-	-	-	orf1718
SRR12430148_cap3_Contig-1	276	2	829	Pfam	PF00973	Paramyxovirus nucleocapsid protein	2	147	2.2E-50	IPR002021	Paramyxovirus nucleocapsid protein	orf1718
SRR19431078_cap3_Contig-1	241	988	1710	Pfam	PF06326	Vesiculovirus matrix protein	59	235	1.2E-28	IPR009397	Vesiculovirus matrix	orf2171
SRR17345012_cap3_Contig-6	386	4990	6147	Gene3D	G3DSA:2.60.120.20	-	138	328	9.3E-74	IPR029053	Viral coat protein subunit	orf351
SRR17345012_cap3_Contig-6	386	4990	6147	SUPERFAMILY	SSF88633	Positive stranded ssRNA viruses	156	334	5.23E-6	-	-	orf351
