SRA_run	SRA_sample	SRA_study	host_taxon	host_taxid	contig_id	contig_len	ViralRefSeq_E	ViralRefSeq_ident	ViralRefSeq_aLen	ViralRefSeq_subject	ViralRefSeq_taxonomy	date_analyzed
SRR12572674	SRS7308984	SRP279765	Sus scrofa	9823	SRR12572674_cap3_Contig-1	8935	0.0	33.795000	1299	acc:YP_009336621|hypothetical protein [Hubei tetragnatha maxillosa virus 1]	taxid:1923243|Riboviria	2024-07-02
SRR12572674	SRS7308984	SRP279765	Sus scrofa	9823	SRR12572674_cap3_Contig-2	1709	3.66e-61	38.636000	308	acc:YP_009342179|RNA-dependent DNA polymerase [Lymphocystis disease virus Sa]	taxid:1898060|Lymphocystivirus|Alphairidovirinae|Iridoviridae|Pimascovirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-07-02
SRR12572674	SRS7308984	SRP279765	Sus scrofa	9823	SRR12572674_cap3_Contig-3	1294	5.78e-38	28.460000	383	acc:YP_009333242|RdRp [Beihai charybdis crab virus 1]	taxid:1922376|Riboviria	2024-07-02
SRR12572674	SRS7308984	SRP279765	Sus scrofa	9823	SRR12572674_cap3_Contig-4	853	4.80e-42	38.222000	225	acc:YP_073558|RNA-dependent DNA polymerase [lymphocystis disease virus-China]	taxid:256729|Lymphocystis disease virus 2|Lymphocystivirus|Alphairidovirinae|Iridoviridae|Pimascovirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-07-02
SRR12572674	SRS7308984	SRP279765	Sus scrofa	9823	SRR12572674_cap3_Contig-5	597	3.57e-48	46.073000	191	acc:YP_009337686|hypothetical protein 2 [Hubei tombus-like virus 42]	taxid:1923290|Riboviria	2024-07-02
SRR12572674	SRS7308984	SRP279765	Sus scrofa	9823	SRR12572674_cap3_Contig-6	462	6.78e-19	36.184000	152	acc:YP_009329819|replicative protein [Bivalve RNA virus G2]	taxid:1926996|Picornavirales|Pisoniviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-07-02
SRR12572674	SRS7308984	SRP279765	Sus scrofa	9823	SRR12572674_cap3_Contig-7	430	8.17e-23	38.406000	138	acc:YP_073558|RNA-dependent DNA polymerase [lymphocystis disease virus-China]	taxid:256729|Lymphocystis disease virus 2|Lymphocystivirus|Alphairidovirinae|Iridoviridae|Pimascovirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-07-02
SRR12572674	SRS7308984	SRP279765	Sus scrofa	9823	SRR12572674_cap3_Contig-8	348	0.002	33.929000	56	acc:YP_073558|RNA-dependent DNA polymerase [lymphocystis disease virus-China]	taxid:256729|Lymphocystis disease virus 2|Lymphocystivirus|Alphairidovirinae|Iridoviridae|Pimascovirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-07-02
SRR12572674	SRS7308984	SRP279765	Sus scrofa	9823	SRR12572674_cap3_Contig-9	345	1.76e-50	69.298000	114	acc:YP_009551963|replicase [Cherry virus Trakiya]	taxid:2074132|Picornavirales|Pisoniviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-07-02
SRR12572674	SRS7308984	SRP279765	Sus scrofa	9823	SRR12572674_cap3_Contig-10	343	4.29e-38	53.509000	114	acc:YP_009337883|RNA-dependent RNA polymerase [Hubei orthoptera virus 4]	taxid:1923012|Riboviria	2024-07-02
SRR12572674	SRS7308984	SRP279765	Sus scrofa	9823	SRR12572674_cap3_Contig-11	282	4.33e-26	61.702000	94	acc:YP_009115495|RNA-dependent RNA polymerase [Magnaporthe oryzae RNA virus]	taxid:1580607|Viruses	2024-07-02
SRR12572674	SRS7308984	SRP279765	Sus scrofa	9823	SRR12572674_cap3_Contig-12	248	2.40e-27	63.830000	94	acc:YP_010800259|RNA dependent RNA polymerase [Plasmopara viticola lesion associated ourmia-like virus 64]	taxid:2686536|Deltascleroulivirus alphaplasmoparae|Deltascleroulivirus|Botourmiaviridae|Ourlivirales|Miaviricetes|Lenarviricota|Orthornavirae|Riboviria	2024-07-02
SRR12572674	SRS7308984	SRP279765	Sus scrofa	9823	SRR12572674_cap3_Contig-13	246	3.72e-25	55.556000	90	acc:YP_009551963|replicase [Cherry virus Trakiya]	taxid:2074132|Picornavirales|Pisoniviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-07-02
SRR12572674	SRS7308984	SRP279765	Sus scrofa	9823	SRR12572674_cap3_Contig-14	189	1.01e-29	90.323000	62	acc:YP_004293216|RNA polymerase [Grapevine berry inner necrosis virus]	taxid:81877|Trichovirus|Trivirinae|Betaflexiviridae|Tymovirales|Alsuviricetes|Kitrinoviricota|Orthornavirae|Riboviria	2024-07-02
SRR12709638	SRS7424870	SRP285342	Rattus	10114	SRR12709638_cap3_Contig-1	2063	2.00e-116	43.929000	453	acc:YP_009345057|hypothetical protein 2 [Xinzhou nematode virus 7]	taxid:1923775|Riboviria	2024-07-02
SRR12709638	SRS7424870	SRP285342	Rattus	10114	SRR12709638_cap3_Contig-2	1121	2.24e-51	31.454000	337	acc:YP_010056903|RNA-binding protein [Mycobacterium phage Phabba]	taxid:2027899|Myranavirus phabba|Myrnavirus|Ceeclamvirinae|Caudoviricetes|Uroviricota|Heunggongvirae|Duplodnaviria	2024-07-02
SRR12709638	SRS7424870	SRP285342	Rattus	10114	SRR12709638_cap3_Contig-3	774	3.34e-21	28.148000	270	acc:YP_009551341|hypothetical protein EXH61_gp1 [Pythium polare bunya-like RNA virus 1]	taxid:2137352|Viruses	2024-07-02
SRR12709638	SRS7424870	SRP285342	Rattus	10114	SRR12709638_cap3_Contig-4	718	2.63e-09	27.273000	165	acc:YP_009182153|RNA dependent RNA polymerase [Botrytis cinerea negative-stranded RNA virus 1]	taxid:1629671|Riboviria	2024-07-02
SRR12709638	SRS7424870	SRP285342	Rattus	10114	SRR12709638_cap3_Contig-5	515	5.33e-37	40.698000	172	acc:YP_009310051|polyprotein [Ceratobasidium endornavirus D]	taxid:1908808|Endornaviridae|Martellivirales|Alsuviricetes|Kitrinoviricota|Orthornavirae|Riboviria	2024-07-02
SRR12709638	SRS7424870	SRP285342	Rattus	10114	SRR12709638_cap3_Contig-6	401	1.73e-18	37.719000	114	acc:YP_010084023|RNA replicase beta subunit [Leviviridae sp.]	taxid:2027243|Fiersviridae|Norzivirales|Leviviricetes|Lenarviricota|Orthornavirae|Riboviria	2024-07-02
SRR12709638	SRS7424870	SRP285342	Rattus	10114	SRR12709638_cap3_Contig-7	376	1.87e-14	35.938000	128	acc:YP_009182153|RNA dependent RNA polymerase [Botrytis cinerea negative-stranded RNA virus 1]	taxid:1629671|Riboviria	2024-07-02
SRR12709638	SRS7424870	SRP285342	Rattus	10114	SRR12709638_cap3_Contig-8	341	7.39e-19	40.678000	118	acc:YP_009333146|RNA-dependent RNA polymerase [Beihai narna-like virus 26]	taxid:1922454|Riboviria	2024-07-02
SRR12709638	SRS7424870	SRP285342	Rattus	10114	SRR12709638_cap3_Contig-9	306	2.02e-15	45.882000	85	acc:YP_010769934|RNA-directed RNA polymerase [ssRNA phage SRR6960803_5]	taxid:2786621|Teciucevirus pelohabitans|Teciucevirus|Fiersviridae|Norzivirales|Leviviricetes|Lenarviricota|Orthornavirae|Riboviria	2024-07-02
