SRA_run	SRA_sample	SRA_study	host_taxon	host_taxid	contig_id	contig_len	ViralRefSeq_E	ViralRefSeq_ident	ViralRefSeq_aLen	ViralRefSeq_subject	ViralRefSeq_taxonomy	date_analyzed
ERR10565871	ERS14300537	ERP143068	Sus scrofa	9823	ERR10565871_cap3_Contig-1	3419	0.0	92.834000	614	acc:YP_010775526|structural viral protein [Paslahepevirus balayani]	taxid:1678143|Paslahepevirus|Orthohepevirinae|Hepeviridae|Hepelivirales|Alsuviricetes|Kitrinoviricota|Orthornavirae|Riboviria	2024-07-06
ERR10565871	ERS14300537	ERP143068	Sus scrofa	9823	ERR10565871_cap3_Contig-2	832	0.58	29.412000	68	acc:YP_004323475|hypothetical protein PHM2_106 [Prochlorococcus phage P-HM2]	taxid:445696|Eurybiavirus PHM2|Eurybiavirus|Caudoviricetes|Uroviricota|Heunggongvirae|Duplodnaviria	2024-07-06
ERR10565871	ERS14300537	ERP143068	Sus scrofa	9823	ERR10565871_cap3_Contig-3	336	1.4	42.857000	35	acc:YP_009025166|RNA-dependent RNA polymerase, partial [Persimmon latent virus]	taxid:1211481|dsRNA viruses|Riboviria	2024-07-06
ERR10565979	ERS14300537	ERP143068	Sus scrofa	9823	ERR10565979_cap3_Contig-1	2789	0.0	92.834000	614	acc:YP_010775526|structural viral protein [Paslahepevirus balayani]	taxid:1678143|Paslahepevirus|Orthohepevirinae|Hepeviridae|Hepelivirales|Alsuviricetes|Kitrinoviricota|Orthornavirae|Riboviria	2024-07-07
ERR10565979	ERS14300537	ERP143068	Sus scrofa	9823	ERR10565979_cap3_Contig-2	2546	2.5	29.412000	51	acc:YP_010746622|hypothetical protein QA033_gp12 [Salmonella phage F12013]	taxid:3003233|Jerseyvirus|Guernseyvirinae|Caudoviricetes|Uroviricota|Heunggongvirae|Duplodnaviria	2024-07-07
ERR10565979	ERS14300537	ERP143068	Sus scrofa	9823	ERR10565979_cap3_Contig-3	1269	0.0	88.889000	423	acc:NP_056779|polyprotein [Hepatitis E virus]	taxid:291484|Hepeviridae|Hepelivirales|Alsuviricetes|Kitrinoviricota|Orthornavirae|Riboviria	2024-07-07
ERR10565979	ERS14300537	ERP143068	Sus scrofa	9823	ERR10565979_cap3_Contig-4	780	1.62e-46	36.910000	233	acc:YP_010056903|RNA-binding protein [Mycobacterium phage Phabba]	taxid:2027899|Myranavirus phabba|Myrnavirus|Ceeclamvirinae|Caudoviricetes|Uroviricota|Heunggongvirae|Duplodnaviria	2024-07-07
ERR10565979	ERS14300537	ERP143068	Sus scrofa	9823	ERR10565979_cap3_Contig-5	645	5.22e-11	33.333000	138	acc:YP_009342179|RNA-dependent DNA polymerase [Lymphocystis disease virus Sa]	taxid:1898060|Lymphocystivirus|Alphairidovirinae|Iridoviridae|Pimascovirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-07-07
ERR10566120	ERS14300452	ERP143068	Sus scrofa	9823	ERR10566120_cap3_Contig-1	1424	8.78e-78	33.833000	467	acc:YP_010648642|hypothetical protein PP301_gp125 [Gordonia phage GMA2]	taxid:1647283|Gimaduovirus GMA2|Gimaduovirus|Caudoviricetes|Uroviricota|Heunggongvirae|Duplodnaviria	2024-07-07
ERR10566178	ERS14300452	ERP143068	Sus scrofa	9823	ERR10566178_cap3_Contig-1	2869	0.0	92.569000	619	acc:YP_010775526|structural viral protein [Paslahepevirus balayani]	taxid:1678143|Paslahepevirus|Orthohepevirinae|Hepeviridae|Hepelivirales|Alsuviricetes|Kitrinoviricota|Orthornavirae|Riboviria	2024-07-06
ERR10566178	ERS14300452	ERP143068	Sus scrofa	9823	ERR10566178_cap3_Contig-2	460	2.82e-90	89.474000	152	acc:YP_010775524|nonstructural protein [Paslahepevirus balayani]	taxid:1678143|Paslahepevirus|Orthohepevirinae|Hepeviridae|Hepelivirales|Alsuviricetes|Kitrinoviricota|Orthornavirae|Riboviria	2024-07-06
ERR10566191	ERS14299752	ERP143068	Sus scrofa	9823	ERR10566191_cap3_Contig-1	2349	0.90	33.333000	66	acc:YP_009811204|hypothetical protein HOU08_gp090 [Dickeya phage vB_DsoM_JA29]	taxid:2283031|Salmondvirus JA29|Salmondvirus|Caudoviricetes|Uroviricota|Heunggongvirae|Duplodnaviria	2024-07-06
ERR10566191	ERS14299752	ERP143068	Sus scrofa	9823	ERR10566191_cap3_Contig-2	363	2.64e-69	89.076000	119	acc:YP_010775524|nonstructural protein [Paslahepevirus balayani]	taxid:1678143|Paslahepevirus|Orthohepevirinae|Hepeviridae|Hepelivirales|Alsuviricetes|Kitrinoviricota|Orthornavirae|Riboviria	2024-07-06
ERR10566196	ERS14299902	ERP143068	Sus scrofa	9823	ERR10566196_cap3_Contig-1	1853	6.55e-112	37.613000	553	acc:YP_010649013|Ro-like RNA binding protein [Gordonia phage Forza]	taxid:2571247|Forzavirus forza|Forzavirus|Caudoviricetes|Uroviricota|Heunggongvirae|Duplodnaviria	2024-07-06
ERR10566196	ERS14299902	ERP143068	Sus scrofa	9823	ERR10566196_cap3_Contig-2	602	0.33	29.412000	68	acc:YP_004323475|hypothetical protein PHM2_106 [Prochlorococcus phage P-HM2]	taxid:445696|Eurybiavirus PHM2|Eurybiavirus|Caudoviricetes|Uroviricota|Heunggongvirae|Duplodnaviria	2024-07-06
ERR10566196	ERS14299902	ERP143068	Sus scrofa	9823	ERR10566196_cap3_Contig-3	307	1.26e-34	78.378000	74	acc:YP_010775524|nonstructural protein [Paslahepevirus balayani]	taxid:1678143|Paslahepevirus|Orthohepevirinae|Hepeviridae|Hepelivirales|Alsuviricetes|Kitrinoviricota|Orthornavirae|Riboviria	2024-07-06
ERR10566236	ERS14300452	ERP143068	Sus scrofa	9823	ERR10566236_cap3_Contig-1	915	5.77e-168	88.487000	304	acc:YP_010775524|nonstructural protein [Paslahepevirus balayani]	taxid:1678143|Paslahepevirus|Orthohepevirinae|Hepeviridae|Hepelivirales|Alsuviricetes|Kitrinoviricota|Orthornavirae|Riboviria	2024-07-07
ERR10566236	ERS14300452	ERP143068	Sus scrofa	9823	ERR10566236_cap3_Contig-2	862	5.8	54.167000	24	acc:YP_009188174|virion structural protein [Cyanophage P-TIM40]	taxid:1589733|Libanvirus ptim40|Libanvirus|Kyanoviridae|Caudoviricetes|Uroviricota|Heunggongvirae|Duplodnaviria	2024-07-07
ERR10566249	ERS14299752	ERP143068	Sus scrofa	9823	ERR10566249_cap3_Contig-1	1316	5.49e-44	36.134000	238	acc:YP_010056903|RNA-binding protein [Mycobacterium phage Phabba]	taxid:2027899|Myranavirus phabba|Myrnavirus|Ceeclamvirinae|Caudoviricetes|Uroviricota|Heunggongvirae|Duplodnaviria	2024-07-06
ERR10566312	ERS14299902	ERP143068	Sus scrofa	9823	ERR10566312_cap3_Contig-1	512	1.11e-103	89.412000	170	acc:YP_010775524|nonstructural protein [Paslahepevirus balayani]	taxid:1678143|Paslahepevirus|Orthohepevirinae|Hepeviridae|Hepelivirales|Alsuviricetes|Kitrinoviricota|Orthornavirae|Riboviria	2024-07-06
ERR10566388	ERS14300630	ERP143068	Sus scrofa	9823	ERR10566388_cap3_Contig-1	2224	2.13e-110	38.060000	536	acc:YP_010649013|Ro-like RNA binding protein [Gordonia phage Forza]	taxid:2571247|Forzavirus forza|Forzavirus|Caudoviricetes|Uroviricota|Heunggongvirae|Duplodnaviria	2024-07-06
ERR10566424	ERS14300673	ERP143068	Sus scrofa	9823	ERR10566424_cap3_Contig-1	475	5.47e-88	87.179000	156	acc:YP_010775524|nonstructural protein [Paslahepevirus balayani]	taxid:1678143|Paslahepevirus|Orthohepevirinae|Hepeviridae|Hepelivirales|Alsuviricetes|Kitrinoviricota|Orthornavirae|Riboviria	2024-07-06
ERR10566424	ERS14300673	ERP143068	Sus scrofa	9823	ERR10566424_cap3_Contig-2	395	6.90e-77	88.550000	131	acc:YP_010775524|nonstructural protein [Paslahepevirus balayani]	taxid:1678143|Paslahepevirus|Orthohepevirinae|Hepeviridae|Hepelivirales|Alsuviricetes|Kitrinoviricota|Orthornavirae|Riboviria	2024-07-06
ERR10566463	ERS14300673	ERP143068	Sus scrofa	9823	ERR10566463_cap3_Contig-1	11993	3.91e-61	35.323000	402	acc:YP_009342179|RNA-dependent DNA polymerase [Lymphocystis disease virus Sa]	taxid:1898060|Lymphocystivirus|Alphairidovirinae|Iridoviridae|Pimascovirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-07-06
ERR10566463	ERS14300673	ERP143068	Sus scrofa	9823	ERR10566463_cap3_Contig-2	715	6.58e-146	87.815000	238	acc:YP_010775524|nonstructural protein [Paslahepevirus balayani]	taxid:1678143|Paslahepevirus|Orthohepevirinae|Hepeviridae|Hepelivirales|Alsuviricetes|Kitrinoviricota|Orthornavirae|Riboviria	2024-07-06
ERR10566506	ERS14300630	ERP143068	Sus scrofa	9823	ERR10566506_cap3_Contig-1	330	1.5	38.889000	36	acc:YP_009165949|hypothetical protein APL35_gp198 [Apis mellifera filamentous virus]	taxid:1100043|Viruses	2024-07-06
ERR6842342	ERS7649035	ERP132074	Canis lupus familiaris	9615	ERR6842342_cap3_Contig-1	217	5.22e-36	84.507000	71	acc:YP_009553584|replicative protein [Elicom virus 1]	taxid:2480175|Viruses	2024-07-06
SRR12001320	SRS6829728	SRP267007	Chiroptera	9397	SRR12001320_cap3_Contig-1	1811	2.64e-170	50.682000	513	acc:YP_009337372|hypothetical protein [Hubei picorna-like virus 43]	taxid:1923124|Riboviria	2024-07-06
SRR12001320	SRS6829728	SRP267007	Chiroptera	9397	SRR12001320_cap3_Contig-2	1611	8.66e-107	36.784000	541	acc:YP_010800904|putative replicase [Jimsystermes virus]	taxid:2796600|Copasivirus manlyvaleense|Copasivirus|Lispiviridae|Mononegavirales|Monjiviricetes|Haploviricotina|Negarnaviricota|Orthornavirae|Riboviria	2024-07-06
SRR12001320	SRS6829728	SRP267007	Chiroptera	9397	SRR12001320_cap3_Contig-3	1468	0.0	70.843000	415	acc:YP_009337046|hypothetical protein [Shuangao insect virus 12]	taxid:1923468|Riboviria	2024-07-06
SRR12001320	SRS6829728	SRP267007	Chiroptera	9397	SRR12001320_cap3_Contig-4	1044	4.78e-77	59.908000	217	acc:YP_009552080|polyprotein [Yongsan iflavirus 1]	taxid:2315809|Iflaviridae|Picornavirales|Pisoniviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-07-06
SRR12001320	SRS6829728	SRP267007	Chiroptera	9397	SRR12001320_cap3_Contig-5	801	4.47e-11	90.000000	30	acc:YP_009342337|hypothetical protein [Wuhan fly virus 4]	taxid:1923698|Riboviria	2024-07-06
SRR12001320	SRS6829728	SRP267007	Chiroptera	9397	SRR12001320_cap3_Contig-6	702	4.35e-93	63.514000	222	acc:YP_009552080|polyprotein [Yongsan iflavirus 1]	taxid:2315809|Iflaviridae|Picornavirales|Pisoniviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-07-06
SRR12001320	SRS6829728	SRP267007	Chiroptera	9397	SRR12001320_cap3_Contig-7	617	3.90e-62	83.186000	113	acc:YP_009342337|hypothetical protein [Wuhan fly virus 4]	taxid:1923698|Riboviria	2024-07-06
SRR12001320	SRS6829728	SRP267007	Chiroptera	9397	SRR12001320_cap3_Contig-8	586	9.48e-23	36.559000	186	acc:YP_009304989|RNA-dependent RNA polymerase [Wenzhou Shrimp Virus 1]	taxid:1608095|Wenrivirus penaei|Wenrivirus|Phenuiviridae|Bunyavirales|Ellioviricetes|Polyploviricotina|Negarnaviricota|Orthornavirae|Riboviria	2024-07-06
SRR12001320	SRS6829728	SRP267007	Chiroptera	9397	SRR12001320_cap3_Contig-9	491	0.14	30.667000	75	acc:YP_009330099|hypothetical protein [Hubei noda-like virus 17]	taxid:1922972|Riboviria	2024-07-06
SRR12001320	SRS6829728	SRP267007	Chiroptera	9397	SRR12001320_cap3_Contig-10	440	1.11e-94	99.310000	145	acc:YP_009508298|polyprotein [Shanbavirus A]	taxid:2170191|Shanbavirus|Paavivirinae|Picornaviridae|Picornavirales|Pisoniviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-07-06
SRR12001320	SRS6829728	SRP267007	Chiroptera	9397	SRR12001320_cap3_Contig-11	398	1.13e-32	45.385000	130	acc:YP_009336880|hypothetical protein 3 [Hubei tombus-like virus 19]	taxid:1923265|Riboviria	2024-07-06
SRR12001320	SRS6829728	SRP267007	Chiroptera	9397	SRR12001320_cap3_Contig-12	348	1.21e-04	84.211000	19	acc:YP_009342337|hypothetical protein [Wuhan fly virus 4]	taxid:1923698|Riboviria	2024-07-06
SRR12001320	SRS6829728	SRP267007	Chiroptera	9397	SRR12001320_cap3_Contig-13	302	1.81e-17	87.179000	39	acc:YP_009342337|hypothetical protein [Wuhan fly virus 4]	taxid:1923698|Riboviria	2024-07-06
SRR12001320	SRS6829728	SRP267007	Chiroptera	9397	SRR12001320_cap3_Contig-14	224	4.27e-20	92.308000	39	acc:YP_009342337|hypothetical protein [Wuhan fly virus 4]	taxid:1923698|Riboviria	2024-07-06
SRR12324611	SRS7089795	SRP273560	Bos taurus	9913	SRR12324611_cap3_Contig-1	4762	5.81e-19	31.088000	193	acc:YP_009336785|hypothetical protein 3 [Beihai tombus-like virus 13]	taxid:1922716|Riboviria	2024-07-06
SRR12324611	SRS7089795	SRP273560	Bos taurus	9913	SRR12324611_cap3_Contig-2	4564	1.50e-132	60.174000	344	acc:YP_009337199|hypothetical protein 3 [Changjiang tombus-like virus 8]	taxid:1922822|Riboviria	2024-07-06
SRR12324611	SRS7089795	SRP273560	Bos taurus	9913	SRR12324611_cap3_Contig-3	4453	4.75e-109	37.898000	628	acc:YP_009336883|hypothetical protein 2 [Shahe picorna-like virus 11]	taxid:1923441|Riboviria	2024-07-06
SRR12324611	SRS7089795	SRP273560	Bos taurus	9913	SRR12324611_cap3_Contig-4	4091	3.70e-108	33.429000	697	acc:NP_056825|RNA-dependent RNA polymerase [Tobacco necrosis virus A]	taxid:12055|Alphanecrovirus nicotianae|Alphanecrovirus|Procedovirinae|Tombusviridae|Tolivirales|Tolucaviricetes|Kitrinoviricota|Orthornavirae|Riboviria	2024-07-06
SRR12324611	SRS7089795	SRP273560	Bos taurus	9913	SRR12324611_cap3_Contig-5	4038	2.16e-147	47.600000	500	acc:YP_009337749|hypothetical protein 2 [Hubei tombus-like virus 5]	taxid:1923292|Riboviria	2024-07-06
SRR12324611	SRS7089795	SRP273560	Bos taurus	9913	SRR12324611_cap3_Contig-6	3770	1.26e-111	37.246000	639	acc:YP_009337417|hypothetical protein 1 [Changjiang tombus-like virus 9]	taxid:1922823|Riboviria	2024-07-06
