run_id	num_hits	best_E	best_query	ViralRefSeq_E	ViralRefSeq_ident	ViralRefSeq_aLen/sLen	ViralRefSeq_contigs	ViralRefSeq_subject	ViralRefSeq_taxonomy	date_analyzed
11417_12_S25_L005_R1_001	1	3.80e+00	Herpes_TER1	6.84e-06	100.0	51 / 51	1	NC_006273.2|Human herpesvirus 5 strain Merlin, complete genome	taxid:10359|Cytomegalovirus humanbeta5|Cytomegalovirus|Betaherpesvirinae|Orthoherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-05
11621_11_S31_L006_R1_001	5	3.80e-02	Herpes_UL5	1.29e-05	100.0	48 / 51	5	NC_006273.2|Human herpesvirus 5 strain Merlin, complete genome	taxid:10359|Cytomegalovirus humanbeta5|Cytomegalovirus|Betaherpesvirinae|Orthoherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-05
11804_15_S35_L006_R1_001	2	5.90e-01	Herpes_UL19Cterm	7.89e-05	100.0	48 / 51	2	NC_006273.2|Human herpesvirus 5 strain Merlin, complete genome	taxid:10359|Cytomegalovirus humanbeta5|Cytomegalovirus|Betaherpesvirinae|Orthoherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-05
13513_11_S34_L006_R1_001	2	3.40e+00	Herpes_TER1	4.98e-06	100.0	51 / 51	2	NC_006273.2|Human herpesvirus 5 strain Merlin, complete genome	taxid:10359|Cytomegalovirus humanbeta5|Cytomegalovirus|Betaherpesvirinae|Orthoherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-05
13926_13_S20_L004_R1_001	1	2.00e+00	Herpes_POLcore	9.40e-02	81.2	48 / 51	1	NC_001348.1|Human herpesvirus 3, complete genome	taxid:10335|Varicellovirus humanalpha3|Varicellovirus|Alphaherpesvirinae|Orthoherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-05
14534_12_S30_L005_R1_001	2	6.50e-01	Herpes_UL19Cterm	5.87e-05	100.0	51 / 51	2	NC_006273.2|Human herpesvirus 5 strain Merlin, complete genome	taxid:10359|Cytomegalovirus humanbeta5|Cytomegalovirus|Betaherpesvirinae|Orthoherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-05
17764_09_S25_L005_R1_001	3	4.20e-02	Herpes_UL5	3.62e-06	100.0	51 / 51	3	NC_006273.2|Human herpesvirus 5 strain Merlin, complete genome	taxid:10359|Cytomegalovirus humanbeta5|Cytomegalovirus|Betaherpesvirinae|Orthoherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-05
17764_09_S25_L005_R1_001	1	8.40e+00	Herpes_TER1	1.77e-05	100.0	48 / 51	1	NC_003521.1|Panine herpesvirus 2 strain Heberling, complete genome	taxid:188763|Cytomegalovirus paninebeta2|Cytomegalovirus|Betaherpesvirinae|Orthoherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-05
18202_11_S17_L003_R1_001	1	2.00e+00	Herpes_POLcore	8.68e-05	100.0	48 / 51	1	NC_003521.1|Panine herpesvirus 2 strain Heberling, complete genome	taxid:188763|Cytomegalovirus paninebeta2|Cytomegalovirus|Betaherpesvirinae|Orthoherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-05
18202_11_S17_L003_R1_001	1	8.90e+00	Herpes_UL6	8.68e-05	100.0	51 / 51	1	NC_006273.2|Human herpesvirus 5 strain Merlin, complete genome	taxid:10359|Cytomegalovirus humanbeta5|Cytomegalovirus|Betaherpesvirinae|Orthoherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-05
1877_12_S30_L005_R1_001	3	3.30e-02	Herpes_UL5	9.40e-06	100.0	48 / 51	3	NC_006273.2|Human herpesvirus 5 strain Merlin, complete genome	taxid:10359|Cytomegalovirus humanbeta5|Cytomegalovirus|Betaherpesvirinae|Orthoherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-05
1877_12_S30_L005_R1_001	2	1.00e-01	Herpes_UL5	1.35e-04	100.0	51 / 51	2	NC_003521.1|Panine herpesvirus 2 strain Heberling, complete genome	taxid:188763|Cytomegalovirus paninebeta2|Cytomegalovirus|Betaherpesvirinae|Orthoherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-05
18960_09_S27_L005_R1_001	1	5.20e+00	Herpes_UL19Cterm	3.35e-05	100.0	51 / 51	1	NC_006273.2|Human herpesvirus 5 strain Merlin, complete genome	taxid:10359|Cytomegalovirus humanbeta5|Cytomegalovirus|Betaherpesvirinae|Orthoherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-05
19138_12_S29_L005_R1_001	2	4.30e-03	Herpes_TER1	2.44e-05	100.0	51 / 51	2	NC_006273.2|Human herpesvirus 5 strain Merlin, complete genome	taxid:10359|Cytomegalovirus humanbeta5|Cytomegalovirus|Betaherpesvirinae|Orthoherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-05
19138_12_S29_L005_R1_001	1	1.80e+00	NCLDV_ssuRiboReduc	8.68e-05	100.0	48 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-05
