SRA_run	SRA_sample	SRA_study	host_taxon	host_taxid	contig_id	contig_len	ViralRefSeq_E	ViralRefSeq_ident	ViralRefSeq_aLen	ViralRefSeq_subject	ViralRefSeq_taxonomy	date_analyzed
DRR248907	DRS256612	DRP009016	Macaca fascicularis	9541	DRR248907_cap3_Contig-1	8693	0	65.366	1845	acc:YP_010774711|polyprotein [Guereza hepacivirus]	Flaviviridae	2024-06-26
DRR248913	DRS256618	DRP009016	Macaca fascicularis	9541	DRR248913_cap3_Contig-1	8546	0	65.036	1799	acc:YP_010774711|polyprotein [Guereza hepacivirus]	Flaviviridae	2024-06-26
DRR248914	DRS256619	DRP009016	Macaca fascicularis	9541	DRR248914_cap3_Contig-1	8912	0	65.383	1921	acc:YP_010774711|polyprotein [Guereza hepacivirus]	Flaviviridae	2024-06-26
ERR10568066	ERS14300147	ERP143068	Sus scrofa	9823	ERR10568066_cap3_Contig-1	1903	0.000681	29.762	84	acc:YP_004821526|MHC class I protein [Yokapox virus]	Poxviridae	2024-06-26
ERR10568066	ERS14300147	ERP143068	Sus scrofa	9823	ERR10568066_cap3_Contig-2	1693	8.28e-92	35.984	503	acc:YP_010649013|Ro-like RNA binding protein [Gordonia phage Forza]	unclassified Uroviricota	2024-06-26
ERR10568066	ERS14300147	ERP143068	Sus scrofa	9823	ERR10568066_cap3_Contig-3	560	0.65	28.571	56	acc:YP_009330008|hypothetical protein [Changjiang crawfish virus 4]	unclassified	2024-06-26
ERR10568066	ERS14300147	ERP143068	Sus scrofa	9823	ERR10568066_cap3_Contig-4	553	0.39	28.571	56	acc:YP_009330008|hypothetical protein [Changjiang crawfish virus 4]	unclassified	2024-06-26
ERR10568066	ERS14300147	ERP143068	Sus scrofa	9823	ERR10568066_cap3_Contig-5	514	2.4	66.667	18	acc:YP_004421515|RNA polymerase sigma factor [Synechococcus phage S-CBS2]	unclassified Uroviricota	2024-06-26
ERR10568066	ERS14300147	ERP143068	Sus scrofa	9823	ERR10568066_cap3_Contig-6	498	1.2	26.984	63	acc:YP_010804498|hypothetical protein QKU58_gp036 [Pyramimonas orientalis virus]	Allomimiviridae	2024-06-26
ERR10568066	ERS14300147	ERP143068	Sus scrofa	9823	ERR10568066_cap3_Contig-7	479	2.9	39.13	23	acc:YP_010782359|F-box domain protein [Tupanvirus soda lake]	Mimiviridae	2024-06-26
ERR10568066	ERS14300147	ERP143068	Sus scrofa	9823	ERR10568066_cap3_Contig-8	464	0.78	36.364	55	acc:YP_009316074|polynucleotide kinase/ligase [Anticarsia gemmatalis multiple nucleopolyhedrovirus]	Baculoviridae	2024-06-26
ERR10568066	ERS14300147	ERP143068	Sus scrofa	9823	ERR10568066_cap3_Contig-9	458	3.7	36.207	58	acc:NP_703076|hypothetical protein QKT50_gp084 [Rachiplusia ou multiple nucleopolyhedrovirus]	Baculoviridae	2024-06-26
ERR10568066	ERS14300147	ERP143068	Sus scrofa	9823	ERR10568066_cap3_Contig-10	447	5.2	41.026	39	acc:NP_795513|putative structural protein [Streptococcus phage 315.3]	unclassified Uroviricota	2024-06-26
ERR10568066	ERS14300147	ERP143068	Sus scrofa	9823	ERR10568066_cap3_Contig-11	443	0.35	28.571	56	acc:YP_009330008|hypothetical protein [Changjiang crawfish virus 4]	unclassified	2024-06-26
ERR10568066	ERS14300147	ERP143068	Sus scrofa	9823	ERR10568066_cap3_Contig-12	422	4	34.286	70	acc:YP_009480942|hypothetical protein pmac_cds_258 [Pandoravirus macleodensis]	unclassified	2024-06-26
ERR10568066	ERS14300147	ERP143068	Sus scrofa	9823	ERR10568066_cap3_Contig-13	345	0.67	28.846	52	acc:NP_056859|phosphoprotein [human respiratory syncytial virus]	Pneumoviridae	2024-06-26
ERR10568066	ERS14300147	ERP143068	Sus scrofa	9823	ERR10568066_cap3_Contig-14	343	1.9	32.5	40	acc:NP_048051|phosphoprotein [bovine respiratory syncytial virus]	Pneumoviridae	2024-06-26
ERR10568066	ERS14300147	ERP143068	Sus scrofa	9823	ERR10568066_cap3_Contig-15	338	1.2	44.444	45	acc:YP_009345914|replicase polyprotein [Peach virus D]	Tymoviridae	2024-06-26
ERR10568066	ERS14300147	ERP143068	Sus scrofa	9823	ERR10568066_cap3_Contig-16	338	1.2	44.444	45	acc:YP_009345914|replicase polyprotein [Peach virus D]	Tymoviridae	2024-06-26
ERR10568066	ERS14300147	ERP143068	Sus scrofa	9823	ERR10568066_cap3_Contig-17	337	0.31	42.5	40	acc:YP_009150265|hypothetical protein ACQ72_gp22 [Propionibacterium phage PHL116M00]	unclassified Uroviricota	2024-06-26
ERR10568066	ERS14300147	ERP143068	Sus scrofa	9823	ERR10568066_cap3_Contig-18	319	1.8	31.373	51	acc:YP_008059993|hypothetical protein M193_gp009 [Halorubrum tailed phage 7]	Hafunaviridae	2024-06-26
ERR10568066	ERS14300147	ERP143068	Sus scrofa	9823	ERR10568066_cap3_Contig-19	318	0.16	31.081	74	acc:YP_009877833|endolysin [Lactococcus phage 05601]	unclassified Uroviricota	2024-06-26
ERR10568066	ERS14300147	ERP143068	Sus scrofa	9823	ERR10568066_cap3_Contig-20	300	0.56	66.667	18	acc:YP_004421515|RNA polymerase sigma factor [Synechococcus phage S-CBS2]	unclassified Uroviricota	2024-06-26
ERR10568066	ERS14300147	ERP143068	Sus scrofa	9823	ERR10568066_cap3_Contig-21	294	2.9	40	30	acc:NP_050222|major DNA binding protein [Human betaherpesvirus 6B]	Orthoherpesviridae	2024-06-26
ERR10568066	ERS14300147	ERP143068	Sus scrofa	9823	ERR10568066_cap3_Contig-22	269	3.66e-28	90.741	54	acc:YP_009268709|polyprotein [Atypical porcine pestivirus 1]	Flaviviridae	2024-06-26
ERR10568066	ERS14300147	ERP143068	Sus scrofa	9823	ERR10568066_cap3_Contig-23	222	2.7	35.897	39	acc:YP_009168310|tail completion or Neck1 protein [Pseudomonas phage JD18]	unclassified Uroviricota	2024-06-26
ERR10568066	ERS14300147	ERP143068	Sus scrofa	9823	ERR10568066_cap3_Contig-24	222	2.7	35.897	39	acc:YP_009168310|tail completion or Neck1 protein [Pseudomonas phage JD18]	unclassified Uroviricota	2024-06-26
ERR10568994	ERS14299653	ERP143068	Sus scrofa	9823	ERR10568994_cap3_Contig-1	1997	1.76e-111	37.794	553	acc:YP_010649013|Ro-like RNA binding protein [Gordonia phage Forza]	unclassified Uroviricota	2024-06-26
ERR10568994	ERS14299653	ERP143068	Sus scrofa	9823	ERR10568994_cap3_Contig-2	598	0.41	31.429	105	acc:YP_010086218|glycoprotein precursor complex [Massilia virus]	Phenuiviridae	2024-06-26
ERR10569187	ERS14300285	ERP143068	Sus scrofa	9823	ERR10569187_cap3_Contig-1	1425	4.19e-05	23.936	188	acc:YP_010803261|tubulin-tyrosine ligase/tubulin polyglutamylase [Fadolivirus algeromassiliense]	Mimiviridae	2024-06-26
ERR10569187	ERS14300285	ERP143068	Sus scrofa	9823	ERR10569187_cap3_Contig-2	987	1.29e-45	35.685	241	acc:YP_010056903|RNA-binding protein [Mycobacterium phage Phabba]	unclassified Uroviricota	2024-06-26
ERR10569187	ERS14300285	ERP143068	Sus scrofa	9823	ERR10569187_cap3_Contig-3	529	0.43	37.255	51	acc:YP_009006380|hypothetical protein CF80_gp306 [Vibrio phage VH7D]	Straboviridae	2024-06-26
ERR10569187	ERS14300285	ERP143068	Sus scrofa	9823	ERR10569187_cap3_Contig-4	367	1.19e-74	98.347	121	acc:YP_009268709|polyprotein [Atypical porcine pestivirus 1]	Flaviviridae	2024-06-26
ERR10571114	ERS14300085	ERP143068	Sus scrofa	9823	ERR10571114_cap3_Contig-1	618	0.15	40	45	acc:YP_010803261|tubulin-tyrosine ligase/tubulin polyglutamylase [Fadolivirus algeromassiliense]	Mimiviridae	2024-06-26
ERR10571114	ERS14300085	ERP143068	Sus scrofa	9823	ERR10571114_cap3_Contig-2	370	1.78e-15	35.185	108	acc:YP_010648843|Ro-like RNA binding protein [Gordonia phage Sixama]	unclassified Uroviricota	2024-06-26
ERR10571114	ERS14300085	ERP143068	Sus scrofa	9823	ERR10571114_cap3_Contig-3	363	2.23e-65	98.347	121	acc:YP_009268709|polyprotein [Atypical porcine pestivirus 1]	Flaviviridae	2024-06-26
ERR10571298	ERS14300283	ERP143068	Sus scrofa	9823	ERR10571298_cap3_Contig-1	1246	1.65e-73	35.28	411	acc:YP_010648642|hypothetical protein PP301_gp125 [Gordonia phage GMA2]	unclassified Uroviricota	2024-06-26
ERR10571310	ERS14300283	ERP143068	Sus scrofa	9823	ERR10571310_cap3_Contig-1	217	1.76e-44	95.833	72	acc:YP_009268709|polyprotein [Atypical porcine pestivirus 1]	Flaviviridae	2024-06-26
ERR4342331	ERS4821319	ERP122910	Bos taurus	9913	ERR4342331_cap3_Contig-1	222	2.75e-42	93.151	73	acc:YP_009259250|NS5B protein peptide [Bovine hepacivirus]	Flaviviridae	2024-06-26
ERR4342331	ERS4821319	ERP122910	Bos taurus	9913	ERR4342331_cap3_Contig-2	192	1.01e-33	90.323	62	acc:YP_009130616|polyprotein [Bovine hepacivirus]	Flaviviridae	2024-06-26
