run_id	num_hits	best_E	best_query	ViralRefSeq_E	ViralRefSeq_ident	ViralRefSeq_aLen/sLen	ViralRefSeq_contigs	ViralRefSeq_subject	ViralRefSeq_taxonomy	date_analyzed
10014-14_R1	26	4.60e-02	Toti-Chryso_RdRp	2.21e-06	78.9	57 / 65	7	NC_001641.1|Saccharomyces cerevisiae virus L-BC (La), complete genome	taxid:42478|Saccharomyces cerevisiae virus LBCLa|Totivirus|Totiviridae|Ghabrivirales|Chrymotiviricetes|Duplornaviricota|Orthornavirae|Riboviria	2024-06-12
10014-14_R1	1	3.90e-01	Toti-Chryso_RdRp	3.86e-05	94.1	51 / 51	1	NC_028044.1|Maize-associated totivirus 1, complete genome	taxid:1729670|Totiviridae|Ghabrivirales|Chrymotiviricetes|Duplornaviricota|Orthornavirae|Riboviria	2024-06-12
10014-14_R1	3	9.60e-01	Toti-Chryso_RdRp	1.49e-05	88.2	51 / 54	1	NC_028481.1|Red clover powdery mildew-associated totivirus 2 CP, RdRp genes for capsid protein, RNA dependent RNA polymerase, complete cds, isolate: RPaTV2_75-52	taxid:1714363|Totiviridae|Ghabrivirales|Chrymotiviricetes|Duplornaviricota|Orthornavirae|Riboviria	2024-06-12
10014-14_R1	2	3.00e+00	Toti-Chryso_RdRp	1.20e-02	75.0	48 / 51	2	NC_032465.1|Beihai blue swimmer crab virus 3 strain YYSZX17757 hypothetical protein 1 and hypothetical protein 2 genes, complete cds	taxid:1922370|Riboviria	2024-06-12
10014-14_R1	1	5.40e+00	Toti-Chryso_RdRp	7.00e-03	86.7	45 / 51	1	NC_038697.1|Scheffersomyces segobiensis virus L isolate NRRL Y-11571, complete genome	taxid:1300323|Totivirus|Totiviridae|Ghabrivirales|Chrymotiviricetes|Duplornaviricota|Orthornavirae|Riboviria	2024-06-12
10014-14_R1	1	6.80e+00	Toti-Chryso_RdRp	1.01e-04	93.8	48 / 51	1	NC_038698.1|Tuber aestivum virus 1 capsid protein and RNA polymerase genes, complete cds	taxid:927810|Totivirus|Totiviridae|Ghabrivirales|Chrymotiviricetes|Duplornaviricota|Orthornavirae|Riboviria	2024-06-12
10014-14_R2	14	7.40e-02	Toti-Chryso_RdRp	7.29e-05	87.5	48 / 51	8	NC_001641.1|Saccharomyces cerevisiae virus L-BC (La), complete genome	taxid:42478|Saccharomyces cerevisiae virus LBCLa|Totivirus|Totiviridae|Ghabrivirales|Chrymotiviricetes|Duplornaviricota|Orthornavirae|Riboviria	2024-06-12
10014-14_R2	12	1.00e-01	Toti-Chryso_RdRp	3.86e-05	93.8	48 / 51	3	NC_028481.1|Red clover powdery mildew-associated totivirus 2 CP, RdRp genes for capsid protein, RNA dependent RNA polymerase, complete cds, isolate: RPaTV2_75-52	taxid:1714363|Totiviridae|Ghabrivirales|Chrymotiviricetes|Duplornaviricota|Orthornavirae|Riboviria	2024-06-12
10014-14_R2	5	1.50e-01	Toti-Chryso_RdRp	5.30e-05	88.2	51 / 54	2	NC_028044.1|Maize-associated totivirus 1, complete genome	taxid:1729670|Totiviridae|Ghabrivirales|Chrymotiviricetes|Duplornaviricota|Orthornavirae|Riboviria	2024-06-12
10014-14_R2	8	4.80e-01	Toti-Chryso_RdRp	1.00e-04	93.8	48 / 51	5	NC_038697.1|Scheffersomyces segobiensis virus L isolate NRRL Y-11571, complete genome	taxid:1300323|Totivirus|Totiviridae|Ghabrivirales|Chrymotiviricetes|Duplornaviricota|Orthornavirae|Riboviria	2024-06-12
10014-14_R2	1	7.30e+00	Toti-Chryso_RdRp	1.00e-03	81.2	48 / 51	1	NC_038698.1|Tuber aestivum virus 1 capsid protein and RNA polymerase genes, complete cds	taxid:927810|Totivirus|Totiviridae|Ghabrivirales|Chrymotiviricetes|Duplornaviricota|Orthornavirae|Riboviria	2024-06-12
