SRA_run	SRA_sample	SRA_study	host_taxon	host_taxid	num_hits	best_E	best_query	ViralRefSeq_E	ViralRefSeq_ident	ViralRefSeq_aLen/sLen	ViralRefSeq_contigs	ViralRefSeq_subject	ViralRefSeq_taxonomy	date_analyzed
ERR10568221	ERS14300485	ERP143068	Sus scrofa	9823	8	2.50e-03	Tombus-Noda_RdRp	1.21e-44	92.5	240 / 240	1	NC_018226.1|Swine pasivirus 1, complete genome	taxid:1511784|Pasivirus A|Pasivirus|Paavivirinae|Picornaviridae|Picornavirales|Pisoniviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-08-20
ERR10568221	ERS14300485	ERP143068	Sus scrofa	9823	1	8.30e+00	Endorna_RdRp	7.10e-02	32.3	93 / 151	1	NC_003491.1|Beet mild yellowing virus, complete genome	taxid:156690|Polerovirus|Solemoviridae|Sobelivirales|Pisoniviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-08-20
ERR10568221	ERS14300485	ERP143068	Sus scrofa	9823	1	8.50e+00	Delta_HDAg	5.20e-01	36.1	108 / 151	1	|N/A		2024-08-20
ERR6565666	ERS7264865	ERP131027	Myodes glareolus	447135	1	5.00e-07	Astro-Poty_RdRp	1.47e-13	78.1	96 / 100	1	NC_016155.1|Astrovirus MLB2, complete genome	taxid:683172|Astroviridae|Stellavirales|Stelpaviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-08-20
ERR6565666	ERS7264865	ERP131027	Myodes glareolus	447135	4	9.10e-07	Astro-Poty_RdRp	4.75e-21	79.2	144 / 144	1	NC_019028.1|Astrovirus MLB3 isolate MLB3/human/Vellore/26564/2004, complete genome	taxid:1247114|Astroviridae|Stellavirales|Stelpaviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-08-20
ERR6565666	ERS7264865	ERP131027	Myodes glareolus	447135	11	1.10e-05	Astro-Poty_RdRp	1.82e-36	79.7	207 / 211	1	NC_025379.2|Mamastrovirus 3 isolate PAstV-GX1, complete genome	taxid:1239567|Mamastrovirus|Astroviridae|Stellavirales|Stelpaviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-08-20
ERR6565666	ERS7264865	ERP131027	Myodes glareolus	447135	16	1.50e-05	Astro-Poty_RdRp	9.63e-28	71.7	180 / 187	2	NC_023675.1|Porcine astrovirus 4 strain 35/USA, complete genome	taxid:1105379|Mamastrovirus|Astroviridae|Stellavirales|Stelpaviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-08-20
ERR6565666	ERS7264865	ERP131027	Myodes glareolus	447135	7	8.60e-05	Astro-Poty_RdRp	1.72e-15	72.5	120 / 121	3	NC_027426.1|Astrovirus Er/SZAL6/HUN/2011, complete genome	taxid:1671382|Astroviridae|Stellavirales|Stelpaviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-08-20
ERR6565666	ERS7264865	ERP131027	Myodes glareolus	447135	2	1.50e-04	Hepe-Virga_RdRp	2.18e-06	54.8	93 / 129	1	NC_032472.1|Hubei virga-like virus 18 strain fly97447 RdRp and hypothetical protein genes, complete cds	taxid:1923333|Riboviria	2024-08-20
ERR6565666	ERS7264865	ERP131027	Myodes glareolus	447135	1	2.00e-04	Astro-Poty_RdRp	4.14e-14	81.2	96 / 100	1	NC_027711.1|Dromedary astrovirus isolate DcAstV-274, complete genome	taxid:1662272|Mamastrovirus|Astroviridae|Stellavirales|Stelpaviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-08-20
