SRA_run	SRA_sample	SRA_study	host_taxon	host_taxid	num_hits	best_E	best_query	ViralRefSeq_E	ViralRefSeq_ident	ViralRefSeq_aLen/sLen	ViralRefSeq_contigs	ViralRefSeq_subject	ViralRefSeq_taxonomy	date_analyzed
DRR248907	DRS256612	DRP009016	Macaca fascicularis	9541	188	2.80e-05	Flavi_RdRp	3.25e-39	79.0	243 / 245	1	NC_031950.1|Guereza hepacivirus, complete sequence	taxid:1354498|Hepacivirus colobi|Hepacivirus|Flaviviridae|Amarillovirales|Flasuviricetes|Kitrinoviricota|Orthornavirae|Riboviria	2024-06-24
DRR248907	DRS256612	DRP009016	Macaca fascicularis	9541	321	2.90e-05	Flavi_RdRp	8.59e-51	78.2	357 / 361	2	NC_074786.1|Guereza hepacivirus isolate GHV-1 BWC08, partial genome	taxid:1354498|Hepacivirus colobi|Hepacivirus|Flaviviridae|Amarillovirales|Flasuviricetes|Kitrinoviricota|Orthornavirae|Riboviria	2024-06-24
DRR248913	DRS256618	DRP009016	Macaca fascicularis	9541	104	3.10e-05	Flavi_RdRp	1.31e-48	77.6	348 / 349	1	NC_074786.1|Guereza hepacivirus isolate GHV-1 BWC08, partial genome	taxid:1354498|Hepacivirus colobi|Hepacivirus|Flaviviridae|Amarillovirales|Flasuviricetes|Kitrinoviricota|Orthornavirae|Riboviria	2024-06-24
DRR248913	DRS256618	DRP009016	Macaca fascicularis	9541	65	6.00e-05	Flavi_RdRp	1.30e-37	80.5	231 / 234	3	NC_031950.1|Guereza hepacivirus, complete sequence	taxid:1354498|Hepacivirus colobi|Hepacivirus|Flaviviridae|Amarillovirales|Flasuviricetes|Kitrinoviricota|Orthornavirae|Riboviria	2024-06-24
DRR248914	DRS256619	DRP009016	Macaca fascicularis	9541	236	3.00e-05	Flavi_RdRp	4.15e-50	78.0	354 / 358	2	NC_074786.1|Guereza hepacivirus isolate GHV-1 BWC08, partial genome	taxid:1354498|Hepacivirus colobi|Hepacivirus|Flaviviridae|Amarillovirales|Flasuviricetes|Kitrinoviricota|Orthornavirae|Riboviria	2024-06-24
DRR248914	DRS256619	DRP009016	Macaca fascicularis	9541	149	3.40e-05	Flavi_RdRp	1.53e-38	78.8	240 / 243	1	NC_031950.1|Guereza hepacivirus, complete sequence	taxid:1354498|Hepacivirus colobi|Hepacivirus|Flaviviridae|Amarillovirales|Flasuviricetes|Kitrinoviricota|Orthornavirae|Riboviria	2024-06-24
ERR10568066	ERS14300147	ERP143068	Sus scrofa	9823	6	1.10e-06	Flavi_RdRp	8.10e-44	97.4	117 / 247	3	NC_030653.1|Atypical porcine pestivirus 1 isolate Bavaria S5/9 polyprotein gene, complete cds	taxid:1873455|Pestivirus scrofae|Pestivirus|Flaviviridae|Amarillovirales|Flasuviricetes|Kitrinoviricota|Orthornavirae|Riboviria	2024-06-24
ERR10568066	ERS14300147	ERP143068	Sus scrofa	9823	2	6.40e+00	Endorna_RdRp	1.10e-01	31.2	96 / 188	1	NC_003491.1|Beet mild yellowing virus, complete genome	taxid:156690|Polerovirus|Solemoviridae|Sobelivirales|Pisoniviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-06-24
ERR10568066	ERS14300147	ERP143068	Sus scrofa	9823	2	6.60e+00	New-Zhaovirus_RdRp	2.40e-02	46.2	78 / 141	1	NC_030224.1|Nigrospora oryzae victorivirus 1, complete genome	taxid:1765736|Victorivirus|Totiviridae|Ghabrivirales|Chrymotiviricetes|Duplornaviricota|Orthornavirae|Riboviria	2024-06-24
ERR10568994	ERS14299653	ERP143068	Sus scrofa	9823	4	2.50e-09	Flavi_RdRp	4.37e-52	88.0	276 / 278	1	NC_030653.1|Atypical porcine pestivirus 1 isolate Bavaria S5/9 polyprotein gene, complete cds	taxid:1873455|Pestivirus scrofae|Pestivirus|Flaviviridae|Amarillovirales|Flasuviricetes|Kitrinoviricota|Orthornavirae|Riboviria	2024-06-25
