SRA_run	SRA_sample	SRA_study	host_taxon	host_taxid	contig_id	contig_len	ViralRefSeq_E	ViralRefSeq_ident	ViralRefSeq_aLen	ViralRefSeq_subject	ViralRefSeq_taxonomy	date_analyzed
ERR10568221	ERS14300485	ERP143068	Sus scrofa	9823	ERR10568221_cap3_Contig-1	3694	4.41e-107	37.794000	553	acc:YP_010649013|Ro-like RNA binding protein [Gordonia phage Forza]	taxid:2571247|Forzavirus forza|Forzavirus|Caudoviricetes|Uroviricota|Heunggongvirae|Duplodnaviria	2024-08-21
ERR10568221	ERS14300485	ERP143068	Sus scrofa	9823	ERR10568221_cap3_Contig-2	1794	2.00e-09	25.234000	214	acc:YP_010803261|tubulin-tyrosine ligase/tubulin polyglutamylase [Fadolivirus algeromassiliense]	taxid:3060017|Fadolivirus|Klosneuvirinae|Mimiviridae|Imitervirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-08-21
ERR10568221	ERS14300485	ERP143068	Sus scrofa	9823	ERR10568221_cap3_Contig-3	1585	0.0	85.519000	511	acc:YP_006543639|polyprotein [Pasivirus A1]	taxid:1511784|Pasivirus A|Pasivirus|Paavivirinae|Picornaviridae|Picornavirales|Pisoniviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-08-21
ERR6565666	ERS7264865	ERP131027	Myodes glareolus	447135	ERR6565666_cap3_Contig-1	3774	3.6	37.705000	61	acc:YP_009702930|MGF 505-7R [African swine fever virus]	taxid:10497|Asfivirus|Asfarviridae|Asfuvirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-08-22
ERR6565666	ERS7264865	ERP131027	Myodes glareolus	447135	ERR6565666_cap3_Contig-2	3298	3.04e-97	52.038000	319	acc:YP_009448181|capsid protein [Rodent astrovirus]	taxid:1914442|Mamastrovirus|Astroviridae|Stellavirales|Stelpaviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-08-22
ERR6565666	ERS7264865	ERP131027	Myodes glareolus	447135	ERR6565666_cap3_Contig-3	700	1.29e-99	67.788000	208	acc:YP_009154706|RNA-dependent RNA polymerase [Astrovirus Er/SZAL6/HUN/2011]	taxid:1671382|Astroviridae|Stellavirales|Stelpaviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-08-22
ERR6565666	ERS7264865	ERP131027	Myodes glareolus	447135	ERR6565666_cap3_Contig-4	464	1.81e-68	65.132000	152	acc:YP_009154706|RNA-dependent RNA polymerase [Astrovirus Er/SZAL6/HUN/2011]	taxid:1671382|Astroviridae|Stellavirales|Stelpaviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-08-22
ERR6565666	ERS7264865	ERP131027	Myodes glareolus	447135	ERR6565666_cap3_Contig-5	127	1.21e-15	69.048000	42	acc:YP_009154706|RNA-dependent RNA polymerase [Astrovirus Er/SZAL6/HUN/2011]	taxid:1671382|Astroviridae|Stellavirales|Stelpaviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-08-22
SRR12324611	SRS7089795	SRP273560	Bos taurus	9913	SRR12324611_cap3_Contig-1	4762	5.81e-19	31.088000	193	acc:YP_009336785|hypothetical protein 3 [Beihai tombus-like virus 13]	taxid:1922716|Riboviria	2024-08-22
SRR12324611	SRS7089795	SRP273560	Bos taurus	9913	SRR12324611_cap3_Contig-2	4564	1.50e-132	60.174000	344	acc:YP_009337199|hypothetical protein 3 [Changjiang tombus-like virus 8]	taxid:1922822|Riboviria	2024-08-22
