SRA_run	SRA_sample	SRA_study	host_taxon	host_taxid	contig_id	contig_len	ViralRefSeq_E	ViralRefSeq_ident	ViralRefSeq_aLen	ViralRefSeq_subject	ViralRefSeq_taxonomy	date_analyzed
SRR13364363	SRS7974789	SRP300585	Rhinolophus	49442	SRR13364363_cap3_Contig-1	12329	4.80e-147	37.852000	745	acc:YP_009337367|hypothetical protein 2 [Hubei picorna-like virus 66]	taxid:1923149|Riboviria	2024-08-16
SRR13364363	SRS7974789	SRP300585	Rhinolophus	49442	SRR13364363_cap3_Contig-2	11029	0.0	40.750000	1146	acc:YP_009553600|nonstructural polyprotein [Blackbird arilivirus]	taxid:2099352|Picornavirales|Pisoniviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-08-16
SRR13364363	SRS7974789	SRP300585	Rhinolophus	49442	SRR13364363_cap3_Contig-3	10027	0.0	41.531000	1972	acc:YP_009344960|polyprotein [Helicoverpa armigera iflavirus]	taxid:1936269|Iflavirus|Iflaviridae|Picornavirales|Pisoniviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-08-16
SRR13364363	SRS7974789	SRP300585	Rhinolophus	49442	SRR13364363_cap3_Contig-4	6644	0.0	60.043000	468	acc:YP_009664783|non-structural polyprotein 1AB, partial [Bat astrovirus Tm/Guangxi/LD77/2007]	taxid:627585|Mamastrovirus 15|Mamastrovirus|Astroviridae|Stellavirales|Stelpaviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-08-16
SRR13364363	SRS7974789	SRP300585	Rhinolophus	49442	SRR13364363_cap3_Contig-5	6259	0.0	73.694000	536	acc:YP_009664787|polyprotein 1AB, partial [Mamastrovirus 18]	taxid:1239582|Mamastrovirus|Astroviridae|Stellavirales|Stelpaviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-08-16
SRR13364363	SRS7974789	SRP300585	Rhinolophus	49442	SRR13364363_cap3_Contig-6	3940	1.06e-128	38.996000	677	acc:NP_056825|RNA-dependent RNA polymerase [Tobacco necrosis virus A]	taxid:12055|Alphanecrovirus nicotianae|Alphanecrovirus|Procedovirinae|Tombusviridae|Tolivirales|Tolucaviricetes|Kitrinoviricota|Orthornavirae|Riboviria	2024-08-16
SRR13364363	SRS7974789	SRP300585	Rhinolophus	49442	SRR13364363_cap3_Contig-7	3521	0.0	98.799000	1166	acc:YP_010086029|VP1 [Rotavirus J]	taxid:1929964|Rotavirus|Sedoreoviridae|Reovirales|Resentoviricetes|Duplornaviricota|Orthornavirae|Riboviria	2024-08-16
SRR13364363	SRS7974789	SRP300585	Rhinolophus	49442	SRR13364363_cap3_Contig-8	2957	0.0	95.863000	556	acc:YP_001718611|ORF1a polyprotein [Miniopterus bat coronavirus HKU8]	taxid:694001|Minunacovirus|Alphacoronavirus|Orthocoronavirinae|Coronaviridae|Cornidovirineae|Nidovirales|Pisoniviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-08-16
SRR13364363	SRS7974789	SRP300585	Rhinolophus	49442	SRR13364363_cap3_Contig-9	2625	7.41e-116	34.043000	799	acc:YP_009553600|nonstructural polyprotein [Blackbird arilivirus]	taxid:2099352|Picornavirales|Pisoniviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-08-16
SRR13364363	SRS7974789	SRP300585	Rhinolophus	49442	SRR13364363_cap3_Contig-10	1548	0.0	74.468000	470	acc:YP_009664787|polyprotein 1AB, partial [Mamastrovirus 18]	taxid:1239582|Mamastrovirus|Astroviridae|Stellavirales|Stelpaviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-08-16
SRR13364363	SRS7974789	SRP300585	Rhinolophus	49442	SRR13364363_cap3_Contig-11	1525	0.0	61.250000	480	acc:YP_009551684|RNA-dependent RNA polymerase [Eimeria stiedai RNA virus 1]	taxid:1898175|Totiviridae|Ghabrivirales|Chrymotiviricetes|Duplornaviricota|Orthornavirae|Riboviria	2024-08-16
SRR13364363	SRS7974789	SRP300585	Rhinolophus	49442	SRR13364363_cap3_Contig-12	1318	0.0	76.566000	431	acc:YP_009664787|polyprotein 1AB, partial [Mamastrovirus 18]	taxid:1239582|Mamastrovirus|Astroviridae|Stellavirales|Stelpaviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-08-16
SRR13364363	SRS7974789	SRP300585	Rhinolophus	49442	SRR13364363_cap3_Contig-13	1152	2.33e-57	34.985000	323	acc:YP_009329866|RdRp [Wuhan large pig roundworm virus 1]	taxid:1923741|Riboviria	2024-08-16
