run_id	contig_id	contig_len	ViralRefSeq_E	ViralRefSeq_ident	ViralRefSeq_aLen	ViralRefSeq_subject	ViralRefSeq_taxonomy	date_analyzed
M22_S18_R1_001	M22_S18_R1_001_cap3_Contig-1	259	2.69e-30	91.566000	83	acc:NP_077804|delta antigen [Hepatitis delta virus]	taxid:12475|Deltavirus|Kolmioviridae|Ribozyviria	2024-06-13
M22_S18_R1_001	M22_S18_R1_001_cap3_Contig-2	210	1.69e-09	83.333000	48	acc:NP_597693|large delta antigen [Hepatitis delta virus]	taxid:12475|Deltavirus|Kolmioviridae|Ribozyviria	2024-06-13
M22_S18_R1_001	M22_S18_R1_001_cap3_Contig-3	150	3.58e-09	77.419000	31	acc:YP_009553278|delta antigen [Snake deltavirus F18-5]	taxid:2419666|Daletvirus boae|Daletvirus|Kolmioviridae|Ribozyviria	2024-06-13
M22_S18_R1_001	M22_S18_R1_001_cap3_Contig-4	126	1.90e-13	80.556000	36	acc:NP_597693|large delta antigen [Hepatitis delta virus]	taxid:12475|Deltavirus|Kolmioviridae|Ribozyviria	2024-06-13
M22_S18_R1_001	M22_S18_R1_001_cap3_Contig-5	107	1.06e-10	78.125000	32	acc:YP_009553278|delta antigen [Snake deltavirus F18-5]	taxid:2419666|Daletvirus boae|Daletvirus|Kolmioviridae|Ribozyviria	2024-06-13
M22_S18_R1_001	M22_S18_R1_001_cap3_Contig-6	106	1.13e-10	78.125000	32	acc:YP_009553278|delta antigen [Snake deltavirus F18-5]	taxid:2419666|Daletvirus boae|Daletvirus|Kolmioviridae|Ribozyviria	2024-06-13
M22_S18_R1_001	M22_S18_R1_001_cap3_Contig-7	57	0.001	77.778000	18	acc:YP_010229228|large delta antigen [hepatitis D virus 1]	taxid:2847173|Deltavirus italiense|Deltavirus|Kolmioviridae|Ribozyviria	2024-06-13
M22_S18_R1_001	M22_S18_R1_001_cap3_Contig-8	56	0.007	76.471000	17	acc:YP_010229228|large delta antigen [hepatitis D virus 1]	taxid:2847173|Deltavirus italiense|Deltavirus|Kolmioviridae|Ribozyviria	2024-06-13
M22_S18_R1_001	M22_S18_R1_001_cap3_Contig-9	55	0.020	75.000000	16	acc:YP_010229228|large delta antigen [hepatitis D virus 1]	taxid:2847173|Deltavirus italiense|Deltavirus|Kolmioviridae|Ribozyviria	2024-06-13
M22_S18_R1_001	M22_S18_R1_001_cap3_Contig-10	54	0.014	70.588000	17	acc:YP_010229228|large delta antigen [hepatitis D virus 1]	taxid:2847173|Deltavirus italiense|Deltavirus|Kolmioviridae|Ribozyviria	2024-06-13
