run_id	num_hits	best_E	best_query	ViralRefSeq_E	ViralRefSeq_ident	ViralRefSeq_aLen/sLen	ViralRefSeq_contigs	ViralRefSeq_subject	ViralRefSeq_taxonomy	date_analyzed
041215Madag01AD01_ATCACG_L005_R1	346	4.80e-02	Circo_Rep	4.63e-24	71.7	180 / 183	38	CP110845.1|Mutant Streptomyces sp. Je 1-4 4N24_ara, complete genome	taxid:1170705|Streptomyces|Streptomycetaceae|Kitasatosporales|Actinomycetes|Actinomycetota|Bacteria	2024-06-30
041215Madag01AD01_ATCACG_L005_R1	8	9.80e-01	Polyoma_LTag	3.87e-06	48.7	117 / 172	1	NC_023008.1|Butcherbird polyomavirus isolate AWH19840, complete genome	taxid:1394033|Gammapolyomavirus cratorquatus|Gammapolyomavirus|Polyomaviridae|Sepolyvirales|Papovaviricetes|Cossaviricota|Shotokuvirae|Monodnaviria	2024-06-30
041215Madag01AD01_ATCACG_L005_R1	5	2.30e+00	Circo_Rep	3.40e-02	42.3	78 / 150	1	NC_055153.1|Rodent associated circovirus 6 isolate RtAd-CV/SAX2015, partial genome	taxid:3052120|Circovirus|Circoviridae|Cirlivirales|Arfiviricetes|Cressdnaviricota|Shotokuvirae|Monodnaviria	2024-06-30
041215Madag01AD01_ATCACG_L005_R1	13	3.70e+00	Circo_Rep	4.13e-04	51.9	81 / 168	1	NC_030466.1|Chimpanzee faeces associated circular DNA virus 1 isolate CPNG_29286, complete genome	taxid:1676184|Circoviridae|Cirlivirales|Arfiviricetes|Cressdnaviricota|Shotokuvirae|Monodnaviria	2024-06-30
041215Madag01AD01_ATCACG_L005_R2	335	3.90e-02	Circo_Rep	1.04e-24	72.1	183 / 187	31	CP110845.1|Mutant Streptomyces sp. Je 1-4 4N24_ara, complete genome	taxid:1170705|Streptomyces|Streptomycetaceae|Kitasatosporales|Actinomycetes|Actinomycetota|Bacteria	2024-06-30
041215Madag01AD01_ATCACG_L005_R2	9	1.10e+00	Polyoma_LTag	3.99e-06	48.7	117 / 177	1	NC_023008.1|Butcherbird polyomavirus isolate AWH19840, complete genome	taxid:1394033|Gammapolyomavirus cratorquatus|Gammapolyomavirus|Polyomaviridae|Sepolyvirales|Papovaviricetes|Cossaviricota|Shotokuvirae|Monodnaviria	2024-06-30
041215Madag01AD01_ATCACG_L005_R2	8	3.60e+00	Circo_Rep	2.25e-04	51.9	81 / 131	1	NC_030466.1|Chimpanzee faeces associated circular DNA virus 1 isolate CPNG_29286, complete genome	taxid:1676184|Circoviridae|Cirlivirales|Arfiviricetes|Cressdnaviricota|Shotokuvirae|Monodnaviria	2024-06-30
041215Madag01AD01_ATCACG_L005_R2	2	9.60e+00	Circo_Rep	1.50e-02	40.0	90 / 146	1	NC_055153.1|Rodent associated circovirus 6 isolate RtAd-CV/SAX2015, partial genome	taxid:3052120|Circovirus|Circoviridae|Cirlivirales|Arfiviricetes|Cressdnaviricota|Shotokuvirae|Monodnaviria	2024-06-30
041215Madag02AD02_CGATGT_L005_R1	458	4.70e-02	Circo_Rep	2.12e-25	72.6	186 / 189	38	CP110845.1|Mutant Streptomyces sp. Je 1-4 4N24_ara, complete genome	taxid:1170705|Streptomyces|Streptomycetaceae|Kitasatosporales|Actinomycetes|Actinomycetota|Bacteria	2024-06-30
041215Madag02AD02_CGATGT_L005_R1	7	9.50e-01	Polyoma_LTag	1.90e-05	48.6	111 / 161	1	NC_023008.1|Butcherbird polyomavirus isolate AWH19840, complete genome	taxid:1394033|Gammapolyomavirus cratorquatus|Gammapolyomavirus|Polyomaviridae|Sepolyvirales|Papovaviricetes|Cossaviricota|Shotokuvirae|Monodnaviria	2024-06-30
