run_id	num_hits	best_E	best_query	ViralRefSeq_E	ViralRefSeq_ident	ViralRefSeq_aLen/sLen	ViralRefSeq_contigs	ViralRefSeq_subject	ViralRefSeq_taxonomy	date_analyzed
041215Madag01AD01_ATCACG_L005_R1	78	3.90e-19	NCLDV_ssuRiboReduc	1.05e-160	79.8	861 / 862	1	NC_015960.1|Yoka poxvirus, complete genome	taxid:1076255|Centapoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-29
041215Madag01AD01_ATCACG_L005_R1	1	1.40e-12	NCLDV_ssuRiboReduc	1.19e-16	80.5	123 / 126	1	NC_019491.1|Cyprinid herpesvirus 1 strain NG-J1, complete genome	taxid:317858|Cyvirus cyprinidallo1|Cyvirus|Alloherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-29
041215Madag01AD01_ATCACG_L005_R1	2	1.80e-11	NCLDV_ssuRiboReduc	5.47e-29	77.8	189 / 194	1	NC_008518.1|Trichoplusia ni ascovirus 2c, complete genome	taxid:328615|Ascovirus|Ascoviridae|Pimascovirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-29
041215Madag01AD01_ATCACG_L005_R1	5	3.70e-10	Herpes_POLcore	5.88e-11	54.0	150 / 173	1	NC_076509.1|Caprine alphaherpesvirus 1 strain JSHA1405, complete genome	taxid:39944|Varicellovirus caprinealpha1|Varicellovirus|Alphaherpesvirinae|Orthoherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-29
041215Madag01AD01_ATCACG_L005_R1	2	3.80e-08	Herpes_POLcore	9.39e-10	59.0	117 / 130	1	FN429076.1|Emiliania huxleyi virus 99B1 draft genome sequence	taxid:187397|Coccolithovirus|Phycodnaviridae|Algavirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-29
041215Madag01AD01_ATCACG_L005_R1	4	1.30e-06	Herpes_POLcore	1.62e-09	52.1	144 / 196	1	NC_077039.1|Elephant endotheliotropic herpesvirus 3A isolate Nyah NAP97, partial genome	taxid:1329409|Elephant endotheliotropic herpesvirus 3|Proboscivirus|Betaherpesvirinae|Orthoherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-29
041215Madag01AD01_ATCACG_L005_R1	2	4.60e-06	Herpes_POLcore	1.10e-15	73.8	126 / 131	1	NC_040612.1|Cherax quadricarinatus iridovirus strain CQIV-CN01, complete genome	taxid:2035708|Iridoviridae|Pimascovirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-29
041215Madag01AD01_ATCACG_L005_R1	1	7.30e-06	NCLDV_ssuRiboReduc	1.51e-11	68.3	123 / 126	1	NC_030656.1|Pteropox virus strain Australia, complete genome	taxid:1873698|Pteropopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-29
041215Madag01AD01_ATCACG_L005_R1	2	3.60e-04	Herpes_POLcore	1.20e-06	50.0	108 / 178	1	NC_077077.1|Pyramimonas orientalis virus clone POV01B_1, partial genome	taxid:455367|Heliosvirus raunefjordenense|Heliosvirus|Allomimiviridae|Imitervirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-29
041215Madag01AD01_ATCACG_L005_R1	1	5.60e-02	NCLDV_ssuRiboReduc	2.45e-08	100.0	66 / 126	1	NC_001132.2|Myxoma virus, complete genome	taxid:10273|Leporipoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-29
041215Madag01AD01_ATCACG_L005_R1	6	8.00e-02	NCLDV_packATPase	2.43e-09	58.1	129 / 140	2	NC_002976.3|Staphylococcus epidermidis RP62A, complete sequence	taxid:176279|Staphylococcus|Staphylococcaceae|Bacillales|Bacilli|Bacillota|Bacteria	2024-06-29
041215Madag01AD01_ATCACG_L005_R1	2	1.00e-01	Herpes_POLcore	1.60e-02	35.7	84 / 169	1	NC_003521.1|Panine herpesvirus 2 strain Heberling, complete genome	taxid:188763|Cytomegalovirus paninebeta2|Cytomegalovirus|Betaherpesvirinae|Orthoherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-29
041215Madag01AD01_ATCACG_L005_R1	1	4.10e-01	Herpes_POLcore	1.00e-03	43.2	111 / 126	1	NC_013590.2|Felid herpesvirus 1 strain C-27, complete genome	taxid:10334|Varicellovirus felidalpha1|Varicellovirus|Alphaherpesvirinae|Orthoherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-29
041215Madag01AD01_ATCACG_L005_R1	3	5.30e-01	NCLDV_packATPase	8.69e-16	82.5	120 / 126	2	NC_006322.1|Bacillus licheniformis DSM 13 = ATCC 14580, complete sequence	taxid:279010|Bacillus|Bacillaceae|Bacillales|Bacilli|Bacillota|Bacteria	2024-06-29
041215Madag01AD01_ATCACG_L005_R1	17	7.70e-01	NCLDV_packATPase	1.90e-02	50.0	90 / 173	2	NC_075368.1|Moumouvirus australiensis isolate 10A, complete genome	taxid:2109587|Moumouvirus australiense|Moumouvirus|Megamimivirinae|Mimiviridae|Imitervirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-29
