SRA_run	SRA_sample	SRA_study	host_taxon	host_taxid	num_hits	best_E	best_query	ViralRefSeq_E	ViralRefSeq_ident	ViralRefSeq_aLen/sLen	ViralRefSeq_contigs	ViralRefSeq_subject	ViralRefSeq_taxonomy	date_analyzed
SRR12572674	SRS7308984	SRP279765	Sus scrofa	9823	3	5.60e-16	Tymo_RdRp	1.23e-28	93.9	147 / 150	3	NC_015220.1|Grapevine berry inner necrosis virus, complete genome	taxid:81877|Trichovirus|Trivirinae|Betaflexiviridae|Tymovirales|Alsuviricetes|Kitrinoviricota|Orthornavirae|Riboviria	2024-07-02
SRR12572674	SRS7308984	SRP279765	Sus scrofa	9823	32	4.60e-07	Tombus-Noda_RdRp	8.21e-44	72.3	303 / 331	7	|N/A		2024-07-02
SRR12572674	SRS7308984	SRP279765	Sus scrofa	9823	7	1.20e-05	Hepe-Virga_RdRp	4.05e-08	37.7	183 / 227	1	NC_004106.1|Paprika mild mottle virus, complete genome	taxid:35281|Tobamovirus|Virgaviridae|Martellivirales|Alsuviricetes|Kitrinoviricota|Orthornavirae|Riboviria	2024-07-02
SRR12572674	SRS7308984	SRP279765	Sus scrofa	9823	1	5.90e-05	Hepe-Virga_RdRp	1.33e-29	100.0	147 / 150	1	NC_022230.1|Tomato mottle mosaic virus isolate MX5, complete genome	taxid:1391702|Tobamovirus|Virgaviridae|Martellivirales|Alsuviricetes|Kitrinoviricota|Orthornavirae|Riboviria	2024-07-02
SRR12572674	SRS7308984	SRP279765	Sus scrofa	9823	3	3.10e-04	Tombus-Noda_RdRp	2.06e-16	45.3	192 / 196	2	NC_033311.1|Hubei orthoptera virus 4 strain ZCM21011 RNA-dependent RNA polymerase gene, complete cds	taxid:1923012|Riboviria	2024-07-02
SRR12572674	SRS7308984	SRP279765	Sus scrofa	9823	1	5.40e-04	Narna-Levi_RdRp	2.55e-24	83.3	144 / 150	1	NC_076837.1|Botrytis cinerea ourmia-like virus 14 isolate BCS15_DN11704, complete genome	taxid:2735948|Botoulivirus epsilonbotrytidis|Botoulivirus|Botourmiaviridae|Ourlivirales|Miaviricetes|Lenarviricota|Orthornavirae|Riboviria	2024-07-02
SRR12572674	SRS7308984	SRP279765	Sus scrofa	9823	1	6.00e-04	Narna-Levi_RdRp	4.74e-21	73.5	147 / 150	1	NC_076229.1|Penicillium citrinum ourmia-like virus 1 isolate MUT1071 RNA-dependent RNA polymerase (QKM02_gp1) gene, complete cds	taxid:2485924|Penicillium magoulivirus|Magoulivirus|Botourmiaviridae|Ourlivirales|Miaviricetes|Lenarviricota|Orthornavirae|Riboviria	2024-07-02
SRR12572674	SRS7308984	SRP279765	Sus scrofa	9823	5	7.10e-04	Picorna-Calici_RdRp	2.93e-23	70.2	171 / 176	3	NC_040561.1|Cherry virus Trakiya isolate PAI 2-29, complete genome	taxid:2074132|Picornavirales|Pisoniviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-07-02
SRR12572674	SRS7308984	SRP279765	Sus scrofa	9823	2	7.10e-04	Narna-Levi_RdRp	1.20e-11	64.4	135 / 181	1	NC_011372.2|Botrytis cinerea mitovirus 1 RNA-dependent RNA polymerase (RDRP) gene, complete cds	taxid:444193|Duamitovirus boci1|Duamitovirus|Mitoviridae|Cryppavirales|Howeltoviricetes|Lenarviricota|Orthornavirae|Riboviria	2024-07-02
SRR12572674	SRS7308984	SRP279765	Sus scrofa	9823	2	1.50e-03	Hepe-Virga_RdRp	1.38e-09	35.6	219 / 238	1	NC_002633.1|Cucumber fruit mottle mosaic virus, complete genome	taxid:146499|Tobamovirus|Virgaviridae|Martellivirales|Alsuviricetes|Kitrinoviricota|Orthornavirae|Riboviria	2024-07-02
