SRA_run	SRA_sample	SRA_study	host_taxon	host_taxid	num_hits	best_E	best_query	ViralRefSeq_E	ViralRefSeq_ident	ViralRefSeq_aLen/sLen	ViralRefSeq_contigs	ViralRefSeq_subject	ViralRefSeq_taxonomy	date_analyzed
ERR10568125	ERS14300485	ERP143068	Sus scrofa	9823	11	1.10e+00	NidoAstro_RdRp	1.59e-47	91.8	255 / 260	2	NC_018226.1|Swine pasivirus 1, complete genome	taxid:1511784|Pasivirus A|Pasivirus|Paavivirinae|Picornaviridae|Picornavirales|Pisoniviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-07-28
ERR10568125	ERS14300485	ERP143068	Sus scrofa	9823	1	7.20e+00	Delta_HDAg	8.00e-03	50.0	66 / 151	1	NC_033085.1|Beihai weivirus-like virus 9 strain BWBFG39428 RNA-dependent RNA polymerase and hypothetical protein genes, complete cds	taxid:1922756|Riboviria	2024-07-28
ERR10568413	ERS14300485	ERP143068	Sus scrofa	9823	9	1.10e+00	NidoAstro_RdRp	6.92e-30	91.4	174 / 176	1	NC_018226.1|Swine pasivirus 1, complete genome	taxid:1511784|Pasivirus A|Pasivirus|Paavivirinae|Picornaviridae|Picornavirales|Pisoniviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-07-28
ERR10568413	ERS14300485	ERP143068	Sus scrofa	9823	2	6.80e+00	Delta_HDAg	3.80e-01	36.1	108 / 136	1	|N/A		2024-07-28
ERR10568413	ERS14300485	ERP143068	Sus scrofa	9823	2	9.30e+00	Endorna_RdRp	7.10e-02	32.3	93 / 146	1	NC_003491.1|Beet mild yellowing virus, complete genome	taxid:156690|Polerovirus|Solemoviridae|Sobelivirales|Pisoniviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-07-28
ERR6109872	ERS6987163	ERP130049	Chlorocebus sabaeus	60711	26	8.50e-03	NidoAstro_RdRp	5.40e-07	82.6	69 / 83	1	NC_026509.1|DeBrazzas monkey arterivirus isolate PREDICT-06530, complete genome	taxid:1965063|Iotaarterivirus debrazmo|Debiartevirus|Iotaarterivirus|Simarterivirinae|Arteriviridae|Arnidovirineae|Nidovirales|Pisoniviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-07-28
ERR6109872	ERS6987163	ERP130049	Chlorocebus sabaeus	60711	1947	2.50e-02	NidoAstro_RdRp	1.73e-11	92.6	81 / 99	261	NC_001961.1|Porcine respiratory and reproductive syndrome virus, complete genome	taxid:28344|Betaarterivirus suid 2|Ampobartevirus|Betaarterivirus|Variarterivirinae|Arteriviridae|Arnidovirineae|Nidovirales|Pisoniviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-07-28
ERR6109872	ERS6987163	ERP130049	Chlorocebus sabaeus	60711	271	4.00e-02	NidoAstro_RdRp	1.66e-09	100.0	63 / 87	34	NC_038291.1|Porcine reproductive and respiratory syndrome virus 2, complete genome	taxid:1965067|Betaarterivirus suid 2|Ampobartevirus|Betaarterivirus|Variarterivirinae|Arteriviridae|Arnidovirineae|Nidovirales|Pisoniviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-07-28
ERR6109872	ERS6987163	ERP130049	Chlorocebus sabaeus	60711	2	2.30e+00	NidoAstro_RdRp	8.49e-07	75.0	72 / 78	1	NC_043487.1|Lelystad virus, complete genome	taxid:11049|Betaarterivirus suid 1|Eurpobartevirus|Betaarterivirus|Variarterivirinae|Arteriviridae|Arnidovirineae|Nidovirales|Pisoniviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-07-28
ERR6109872	ERS6987163	ERP130049	Chlorocebus sabaeus	60711	2	2.40e+00	Nido_NiRAN	8.49e-07	89.5	57 / 79	1	NC_048209.1|Zambian malbrouck virus 1 isolate SHFVagmMal_seqID_01, partial genome	taxid:2682610|Epsilonarterivirus zamalb|Sheartevirus|Epsilonarterivirus|Simarterivirinae|Arteriviridae|Arnidovirineae|Nidovirales|Pisoniviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-07-28
