run_id	contig_id	contig_len	ViralRefSeq_E	ViralRefSeq_ident	ViralRefSeq_aLen	ViralRefSeq_subject	ViralRefSeq_taxonomy	date_analyzed
041215Madag01AD01_ATCACG_L005_R1	041215Madag01AD01_ATCACG_L005_R1_cap3_Contig-1	3452	0.0	46.419000	726	acc:YP_009342207|AAA+ ATPase predicted domain [Lymphocystis disease virus Sa]	taxid:1898060|Lymphocystivirus|Alphairidovirinae|Iridoviridae|Pimascovirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-30
041215Madag01AD01_ATCACG_L005_R1	041215Madag01AD01_ATCACG_L005_R1_cap3_Contig-2	3248	1.10e-13	43.902000	82	acc:YP_009174434|putative heat shock protein 40 [Yellowstone lake phycodnavirus 3]	taxid:1586715|Prasinovirus|Phycodnaviridae|Algavirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-30
041215Madag01AD01_ATCACG_L005_R1	041215Madag01AD01_ATCACG_L005_R1_cap3_Contig-3	3204	5.09e-96	38.557000	485	acc:YP_009015561|gp258 [Bacillus phage G]	taxid:2884420|Donellivirus gee|Donellivirus|Caudoviricetes|Uroviricota|Heunggongvirae|Duplodnaviria	2024-06-30
041215Madag01AD01_ATCACG_L005_R1	041215Madag01AD01_ATCACG_L005_R1_cap3_Contig-4	2927	7.64e-109	42.699000	452	acc:YP_004061441|hypothetical protein BpV1_011c [Bathycoccus sp. RCC1105 virus BpV1]	taxid:880159|Bathycoccus sp. RCC1105 virus BpV|Prasinovirus|Phycodnaviridae|Algavirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-30
041215Madag01AD01_ATCACG_L005_R1	041215Madag01AD01_ATCACG_L005_R1_cap3_Contig-5	2654	1.02e-44	33.333000	372	acc:NP_077658|EsV-1-173 [Ectocarpus siliculosus virus 1]	taxid:37665|Phaeovirus|Phycodnaviridae|Algavirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-30
041215Madag01AD01_ATCACG_L005_R1	041215Madag01AD01_ATCACG_L005_R1_cap3_Contig-6	2570	4.09e-04	27.778000	144	acc:YP_010651731|ATPase [Streptomyces phage Faust]	taxid:2767565|Faustvirus faust|Faustvirus|Loccivirinae|Stanwilliamsviridae|Caudoviricetes|Uroviricota|Heunggongvirae|Duplodnaviria	2024-06-30
041215Madag01AD01_ATCACG_L005_R1	041215Madag01AD01_ATCACG_L005_R1_cap3_Contig-7	2561	5.19e-10	30.323000	155	acc:YP_009098779|ATPase [Caulobacter phage Cr30]	taxid:1357714|Caudoviricetes|Uroviricota|Heunggongvirae|Duplodnaviria	2024-06-30
041215Madag01AD01_ATCACG_L005_R1	041215Madag01AD01_ATCACG_L005_R1_cap3_Contig-8	2200	0.90	27.381000	84	acc:YP_009333526|hypothetical protein 1 [Beihai sipunculid worm virus 4]	taxid:1922676|Riboviria	2024-06-30
041215Madag01AD01_ATCACG_L005_R1	041215Madag01AD01_ATCACG_L005_R1_cap3_Contig-9	1970	3.00e-48	34.400000	375	acc:YP_010803170|DnaJ chaperone protein [Fadolivirus algeromassiliense]	taxid:3060017|Fadolivirus|Klosneuvirinae|Mimiviridae|Imitervirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-30
041215Madag01AD01_ATCACG_L005_R1	041215Madag01AD01_ATCACG_L005_R1_cap3_Contig-10	1763	2.75e-18	25.344000	363	acc:YP_009174434|putative heat shock protein 40 [Yellowstone lake phycodnavirus 3]	taxid:1586715|Prasinovirus|Phycodnaviridae|Algavirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-30
