run_id	contig_id	contig_len	ViralRefSeq_E	ViralRefSeq_ident	ViralRefSeq_aLen	ViralRefSeq_subject	ViralRefSeq_taxonomy	date_analyzed	folder
1877_12_S30_L005_R1_001	1877_12_S30_L005_R1_001_cap3_Contig-1	54	5.03e-06	100	18	acc:NP_612736|helicase-primase helicase subunit [Panine betaherpesvirus 2]	taxid:188763|Cytomegalovirus paninebeta2|Cytomegalovirus|Betaherpesvirinae|Orthoherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-05	150001
21033_10_S26_L005_R1_001	21033_10_S26_L005_R1_001_cap3_Contig-1	56	1.64e-06	100	18	acc:YP_081513|DNA polymerase catalytic subunit [Human betaherpesvirus 5]	taxid:10359|Cytomegalovirus humanbeta5|Cytomegalovirus|Betaherpesvirinae|Orthoherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-05	150001
21320_13_S5_L002_R1_001	21320_13_S5_L002_R1_001_cap3_Contig-1	52	4.79e-05	100	17	acc:YP_803312|hypothetical protein TNAV2c_gp089 [Trichoplusia ni ascovirus 2c]	taxid:328615|Ascovirus|Ascoviridae|Pimascovirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-07	160149
18930_13_S7_L002_R1_001	18930_13_S7_L002_R1_001_cap3_Contig-1	54	2.87e-06	94.118	17	acc:YP_009407970|Ribonucleotide reductase small subunit [Eptesipox virus]	taxid:1329402|Vespertilionpoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-07	160271
25271_14_S13_L003_R1_001	25271_14_S13_L003_R1_001_cap3_Contig-1	54	2.87e-06	94.118	17	acc:YP_009407970|Ribonucleotide reductase small subunit [Eptesipox virus]	taxid:1329402|Vespertilionpoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-07	160271
15577_16_S25_R1_001	15577_16_S25_R1_001_cap3_Contig-1	54	2.19e-05	100	17	acc:YP_009165726|Ribonucleotide reductase 2a [Perigonia lusca single nucleopolyhedrovirus]	taxid:1675865|Alphabaculovirus peluscae|Alphabaculovirus|Baculoviridae|Lefavirales|Naldaviricetes	2024-06-07	170238
10014-14_R2	10014-14_R2_cap3_Contig-1	52	4.8	76.923	13	acc:YP_009176906|nuclear egress lamina protein [Testudinid alphaherpesvirus 3]	taxid:2560801|Scutavirus testudinidalpha3|Scutavirus|Alphaherpesvirinae|Orthoherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-08	180199
10132-18_R1	10132-18_R1_cap3_Contig-1	64	1.23e-08	90.476	21	acc:YP_009282734|ribonucleotide reductase small subunit [Skunkpox virus]	taxid:160796|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-08	180199
7140-13_R2	7140-13_R2_cap3_Contig-1	54	4.79e-06	88.235	17	acc:YP_005296225|ribonucleotide reductase small subunit [Cotia virus SPAn232]	taxid:930275|Cotia virus|Oryzopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-08	180199
906-15_R2	906-15_R2_cap3_Contig-1	52	7.98e-05	87.5	16	acc:YP_009407970|Ribonucleotide reductase small subunit [Eptesipox virus]	taxid:1329402|Vespertilionpoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-08	180199
