SRA_run	SRA_sample	SRA_study	host_taxon	host_taxid	contig_id	contig_len	ViralRefSeq_E	ViralRefSeq_ident	ViralRefSeq_aLen	ViralRefSeq_subject	ViralRefSeq_taxonomy	date_analyzed
DRR248907	DRS256612	DRP009016	Macaca fascicularis	9541	DRR248907_cap3_Contig-1	8693	0.0	65.366000	1845	acc:YP_010774711|polyprotein [Guereza hepacivirus]	taxid:1354498|Hepacivirus colobi|Hepacivirus|Flaviviridae|Amarillovirales|Flasuviricetes|Kitrinoviricota|Orthornavirae|Riboviria	2024-06-26
DRR248913	DRS256618	DRP009016	Macaca fascicularis	9541	DRR248913_cap3_Contig-1	8546	0.0	65.036000	1799	acc:YP_010774711|polyprotein [Guereza hepacivirus]	taxid:1354498|Hepacivirus colobi|Hepacivirus|Flaviviridae|Amarillovirales|Flasuviricetes|Kitrinoviricota|Orthornavirae|Riboviria	2024-06-26
DRR248914	DRS256619	DRP009016	Macaca fascicularis	9541	DRR248914_cap3_Contig-1	8912	0.0	65.383000	1921	acc:YP_010774711|polyprotein [Guereza hepacivirus]	taxid:1354498|Hepacivirus colobi|Hepacivirus|Flaviviridae|Amarillovirales|Flasuviricetes|Kitrinoviricota|Orthornavirae|Riboviria	2024-06-26
ERR10568066	ERS14300147	ERP143068	Sus scrofa	9823	ERR10568066_cap3_Contig-1	1903	6.81e-04	29.762000	84	acc:YP_004821526|MHC class I protein [Yokapox virus]	taxid:1076255|Centapoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-26
ERR10568066	ERS14300147	ERP143068	Sus scrofa	9823	ERR10568066_cap3_Contig-2	1693	8.28e-92	35.984000	503	acc:YP_010649013|Ro-like RNA binding protein [Gordonia phage Forza]	taxid:2571247|Forzavirus forza|Forzavirus|Caudoviricetes|Uroviricota|Heunggongvirae|Duplodnaviria	2024-06-26
ERR10568066	ERS14300147	ERP143068	Sus scrofa	9823	ERR10568066_cap3_Contig-3	560	0.65	28.571000	56	acc:YP_009330008|hypothetical protein [Changjiang crawfish virus 4]	taxid:1922768|Riboviria	2024-06-26
ERR10568066	ERS14300147	ERP143068	Sus scrofa	9823	ERR10568066_cap3_Contig-4	553	0.39	28.571000	56	acc:YP_009330008|hypothetical protein [Changjiang crawfish virus 4]	taxid:1922768|Riboviria	2024-06-26
ERR10568066	ERS14300147	ERP143068	Sus scrofa	9823	ERR10568066_cap3_Contig-5	514	2.4	66.667000	18	acc:YP_004421515|RNA polymerase sigma factor [Synechococcus phage S-CBS2]	taxid:753084|Caudoviricetes|Uroviricota|Heunggongvirae|Duplodnaviria	2024-06-26
ERR10568066	ERS14300147	ERP143068	Sus scrofa	9823	ERR10568066_cap3_Contig-6	498	1.2	26.984000	63	acc:YP_010804498|hypothetical protein QKU58_gp036 [Pyramimonas orientalis virus]	taxid:455367|Heliosvirus raunefjordenense|Heliosvirus|Allomimiviridae|Imitervirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-26
ERR10568066	ERS14300147	ERP143068	Sus scrofa	9823	ERR10568066_cap3_Contig-7	479	2.9	39.130000	23	acc:YP_010782359|F-box domain protein [Tupanvirus soda lake]	taxid:2126985|Tupanvirus|Megamimivirinae|Mimiviridae|Imitervirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-26
ERR10568066	ERS14300147	ERP143068	Sus scrofa	9823	ERR10568066_cap3_Contig-8	464	0.78	36.364000	55	acc:YP_009316074|polynucleotide kinase/ligase [Anticarsia gemmatalis multiple nucleopolyhedrovirus]	taxid:268591|Alphabaculovirus angemmatalis|Alphabaculovirus|Baculoviridae|Lefavirales|Naldaviricetes	2024-06-26
ERR10568066	ERS14300147	ERP143068	Sus scrofa	9823	ERR10568066_cap3_Contig-9	458	3.7	36.207000	58	acc:NP_703076|hypothetical protein QKT50_gp084 [Rachiplusia ou multiple nucleopolyhedrovirus]	taxid:80366|Alphabaculovirus raous|Alphabaculovirus|Baculoviridae|Lefavirales|Naldaviricetes	2024-06-26
ERR10568066	ERS14300147	ERP143068	Sus scrofa	9823	ERR10568066_cap3_Contig-10	447	5.2	41.026000	39	acc:NP_795513|putative structural protein [Streptococcus phage 315.3]	taxid:198540|Caudoviricetes|Uroviricota|Heunggongvirae|Duplodnaviria	2024-06-26
