run_id	contig_id	contig_len	ViralRefSeq_E	ViralRefSeq_ident	ViralRefSeq_aLen	ViralRefSeq_subject	ViralRefSeq_taxonomy	date_analyzed
041215Madag01AD01_ATCACG_L005_R1	041215Madag01AD01_ATCACG_L005_R1_cap3_Contig-1	2872	1.1	27.381000	84	acc:YP_009333526|hypothetical protein 1 [Beihai sipunculid worm virus 4]	taxid:1922676|Riboviria	2024-06-29
041215Madag01AD01_ATCACG_L005_R1	041215Madag01AD01_ATCACG_L005_R1_cap3_Contig-2	2853	1.63e-114	43.534000	549	acc:YP_010803678|ABC transporter [Fadolivirus algeromassiliense]	taxid:3060017|Fadolivirus|Klosneuvirinae|Mimiviridae|Imitervirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-29
041215Madag01AD01_ATCACG_L005_R1	041215Madag01AD01_ATCACG_L005_R1_cap3_Contig-3	2354	2.56e-142	42.131000	610	acc:YP_010803544|RNAse l inhibitor RLI1 [Fadolivirus algeromassiliense]	taxid:3060017|Fadolivirus|Klosneuvirinae|Mimiviridae|Imitervirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-29
041215Madag01AD01_ATCACG_L005_R1	041215Madag01AD01_ATCACG_L005_R1_cap3_Contig-4	2055	2.02e-46	33.542000	319	acc:YP_009949256|signal recognition particle protein, partial [Escherichia phage 500465-1]	taxid:2716351|Wadgaonvirus wv5004651|Wadgaonvirus|Peduoviridae|Caudoviricetes|Uroviricota|Heunggongvirae|Duplodnaviria	2024-06-29
041215Madag01AD01_ATCACG_L005_R1	041215Madag01AD01_ATCACG_L005_R1_cap3_Contig-5	1837	0.56	28.571000	77	acc:NP_477837|wsv315 [Shrimp white spot syndrome virus]	taxid:92652|White spot syndrome virus|Whispovirus|Nimaviridae|Naldaviricetes	2024-06-29
041215Madag01AD01_ATCACG_L005_R1	041215Madag01AD01_ATCACG_L005_R1_cap3_Contig-6	1720	1.2	41.818000	55	acc:YP_009814425|nicotinamide-nucleotide adenylyltransferase [Lactobacillus phage Bromius]	taxid:2315485|Harbinvirus bromius|Harbinvirus|Herelleviridae|Caudoviricetes|Uroviricota|Heunggongvirae|Duplodnaviria	2024-06-29
041215Madag01AD01_ATCACG_L005_R1	041215Madag01AD01_ATCACG_L005_R1_cap3_Contig-7	1668	1.79e-56	45.405000	185	acc:YP_009408556|guanylate kinase [NY_014 poxvirus]	taxid:2025360|Centapoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-29
041215Madag01AD01_ATCACG_L005_R1	041215Madag01AD01_ATCACG_L005_R1_cap3_Contig-8	1661	0.21	38.298000	47	acc:YP_010114824|hypothetical protein KNV77_gp006 [Klebsiella phage vB_KpnP_P184]	taxid:2806547|Efbeekayvirus P184|Efbeekayvirus|Schitoviridae|Caudoviricetes|Uroviricota|Heunggongvirae|Duplodnaviria	2024-06-29
041215Madag01AD01_ATCACG_L005_R1	041215Madag01AD01_ATCACG_L005_R1_cap3_Contig-9	1481	0.0	79.688000	320	acc:NP_619839|CPXV051 protein [Cowpox virus]	taxid:10243|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-29
041215Madag01AD01_ATCACG_L005_R1	041215Madag01AD01_ATCACG_L005_R1_cap3_Contig-10	1365	7.45e-28	33.333000	225	acc:YP_009052380|ABC transporter [Aureococcus anophagefferens virus]	taxid:1474867|Kratosvirus quantuckense|Kratosvirus|Schizomimiviridae|Imitervirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-29
041215Madag01AD01_ATCACG_L005_R1	041215Madag01AD01_ATCACG_L005_R1_cap3_Contig-11	1131	1.29e-38	46.358000	151	acc:YP_010802132|GTP binding nuclear protein Ran [Acanthamoeba castellanii medusavirus]	taxid:2080449|Viruses	2024-06-29
041215Madag01AD01_ATCACG_L005_R1	041215Madag01AD01_ATCACG_L005_R1_cap3_Contig-12	1111	0.037	25.510000	98	acc:YP_009126510|Sak4-like ssDNA annealing protein [Lactobacillus phage Ldl1]	taxid:1552735|Lidleunavirus Ldl1|Lidleunavirus|Tybeckvirinae|Caudoviricetes|Uroviricota|Heunggongvirae|Duplodnaviria	2024-06-29
041215Madag01AD01_ATCACG_L005_R1	041215Madag01AD01_ATCACG_L005_R1_cap3_Contig-13	975	2.76e-24	31.308000	214	acc:YP_010803174|ABC transporter type 1 transmembrane domain [Fadolivirus algeromassiliense]	taxid:3060017|Fadolivirus|Klosneuvirinae|Mimiviridae|Imitervirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-29
041215Madag01AD01_ATCACG_L005_R1	041215Madag01AD01_ATCACG_L005_R1_cap3_Contig-14	925	0.34	32.941000	85	acc:YP_007947990|polyprotein [avihepatovirus A1]	taxid:1006061|Avihepatovirus A|Avihepatovirus|Paavivirinae|Picornaviridae|Picornavirales|Pisoniviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-06-29
041215Madag01AD01_ATCACG_L005_R1	041215Madag01AD01_ATCACG_L005_R1_cap3_Contig-15	714	0.010	26.957000	115	acc:YP_010657476|ClpP-like protease [Stenotrophomonas phage Philippe]	taxid:2859655|Philippevirus philippe|Philippevirus|Schitoviridae|Caudoviricetes|Uroviricota|Heunggongvirae|Duplodnaviria	2024-06-29
041215Madag01AD01_ATCACG_L005_R1	041215Madag01AD01_ATCACG_L005_R1_cap3_Contig-16	564	0.32	44.737000	38	acc:YP_009448984|GTP-binding protein RhoE-like [Orpheovirus IHUMI-LCC2]	taxid:2023057|Phycodnaviridae|Algavirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-29
041215Madag01AD01_ATCACG_L005_R1	041215Madag01AD01_ATCACG_L005_R1_cap3_Contig-17	369	3.23e-24	45.528000	123	acc:YP_001687027|DNA polymerase-like protein [Glossina pallidipes salivary gland hypertrophy virus]	taxid:379529|Glossinavirus glopallidipedis|Glossinavirus|Hytrosaviridae|Lefavirales|Naldaviricetes	2024-06-29
041215Madag01AD01_ATCACG_L005_R1	041215Madag01AD01_ATCACG_L005_R1_cap3_Contig-18	335	0.46	32.653000	49	acc:NP_619756|replicase [Physalis mottle virus]	taxid:72539|Tymovirus physalis|Tymovirus|Tymoviridae|Tymovirales|Alsuviricetes|Kitrinoviricota|Orthornavirae|Riboviria	2024-06-29
041215Madag01AD01_ATCACG_L005_R1	041215Madag01AD01_ATCACG_L005_R1_cap3_Contig-19	313	6.09e-13	34.375000	96	acc:YP_010803678|ABC transporter [Fadolivirus algeromassiliense]	taxid:3060017|Fadolivirus|Klosneuvirinae|Mimiviridae|Imitervirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-29
041215Madag01AD01_ATCACG_L005_R1	041215Madag01AD01_ATCACG_L005_R1_cap3_Contig-20	285	0.033	33.333000	51	acc:YP_010090730|thymidylate kinase [Escherichia phage EcS1]	taxid:2083276|Kagamiyamavirus ecs1|Kagamiyamavirus|Tevenvirinae|Straboviridae|Caudoviricetes|Uroviricota|Heunggongvirae|Duplodnaviria	2024-06-29
041215Madag01AD01_ATCACG_L005_R1	041215Madag01AD01_ATCACG_L005_R1_cap3_Contig-21	284	1.75e-29	70.769000	65	acc:YP_003517877|RR2b [Lymantria xylina nucleopolyhedrovirus]	taxid:166921|Alphabaculovirus lyxylinae|Alphabaculovirus|Baculoviridae|Lefavirales|Naldaviricetes	2024-06-29
041215Madag01AD01_ATCACG_L005_R1	041215Madag01AD01_ATCACG_L005_R1_cap3_Contig-22	253	1.14e-07	40.909000	66	acc:YP_009909664|ABC transporter [Escherichia phage ev207]	taxid:2847062|Jouyvirus ev207|Jouyvirus|Caudoviricetes|Uroviricota|Heunggongvirae|Duplodnaviria	2024-06-29
041215Madag01AD01_ATCACG_L005_R1	041215Madag01AD01_ATCACG_L005_R1_cap3_Contig-23	235	3.16e-13	50.000000	60	acc:YP_010795546|F-UL30 DNA polymerase [Chelonid alphaherpesvirus 5]	taxid:702736|Scutavirus chelonidalpha5|Scutavirus|Alphaherpesvirinae|Orthoherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-29
041215Madag01AD01_ATCACG_L005_R1	041215Madag01AD01_ATCACG_L005_R1_cap3_Contig-24	220	5.46e-07	52.381000	42	acc:YP_009001225|ABC transporter [Pithovirus sibericum]	taxid:1450746|Pithovirus|Pithoviruses	2024-06-29
041215Madag01AD01_ATCACG_L005_R1	041215Madag01AD01_ATCACG_L005_R1_cap3_Contig-25	214	4.01e-08	35.211000	71	acc:YP_009329456|DNA polymerase delta catalytic subunit [Cedratvirus A11]	taxid:1903266|Pithoviruses	2024-06-29
041215Madag01AD01_ATCACG_L005_R1	041215Madag01AD01_ATCACG_L005_R1_cap3_Contig-26	192	1.54e-07	43.548000	62	acc:YP_010803248|DNA-directed DNA polymerase family B [Fadolivirus algeromassiliense]	taxid:3060017|Fadolivirus|Klosneuvirinae|Mimiviridae|Imitervirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-29
041215Madag01AD01_ATCACG_L005_R1	041215Madag01AD01_ATCACG_L005_R1_cap3_Contig-27	182	1.14e-11	44.828000	58	acc:YP_009229846|DNA polymerase catalytic subunit [Myotis gammaherpesvirus 8]	taxid:1780507|Gammaherpesvirinae|Orthoherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-29
041215Madag01AD01_ATCACG_L005_R1	041215Madag01AD01_ATCACG_L005_R1_cap3_Contig-28	128	1.3	35.714000	28	acc:YP_009052321|putative capsid protein 2 [Aureococcus anophagefferens virus]	taxid:1474867|Kratosvirus quantuckense|Kratosvirus|Schizomimiviridae|Imitervirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-29
041215Madag01AD01_ATCACG_L005_R2	041215Madag01AD01_ATCACG_L005_R2_cap3_Contig-1	4024	1.8	27.381000	84	acc:YP_009333526|hypothetical protein 1 [Beihai sipunculid worm virus 4]	taxid:1922676|Riboviria	2024-06-29
041215Madag01AD01_ATCACG_L005_R2	041215Madag01AD01_ATCACG_L005_R2_cap3_Contig-2	3110	2.24e-29	21.970000	528	acc:NP_046572|ABC transporter [Bacillus phage SPBc2]	taxid:2932878|Spbetavirus SPbeta|Spbetavirus|Caudoviricetes|Uroviricota|Heunggongvirae|Duplodnaviria	2024-06-29
041215Madag01AD01_ATCACG_L005_R2	041215Madag01AD01_ATCACG_L005_R2_cap3_Contig-3	3093	2.86e-39	42.135000	178	acc:YP_010778822|rab domain-containing protein [Bodo saltans virus]	taxid:2024608|Theiavirus salishense|Theiavirus|Klosneuvirinae|Mimiviridae|Imitervirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-29
041215Madag01AD01_ATCACG_L005_R2	041215Madag01AD01_ATCACG_L005_R2_cap3_Contig-4	2961	0.14	25.510000	98	acc:YP_009126510|Sak4-like ssDNA annealing protein [Lactobacillus phage Ldl1]	taxid:1552735|Lidleunavirus Ldl1|Lidleunavirus|Tybeckvirinae|Caudoviricetes|Uroviricota|Heunggongvirae|Duplodnaviria	2024-06-29
041215Madag01AD01_ATCACG_L005_R2	041215Madag01AD01_ATCACG_L005_R2_cap3_Contig-5	2851	2.48e-114	43.534000	549	acc:YP_010803678|ABC transporter [Fadolivirus algeromassiliense]	taxid:3060017|Fadolivirus|Klosneuvirinae|Mimiviridae|Imitervirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-29
041215Madag01AD01_ATCACG_L005_R2	041215Madag01AD01_ATCACG_L005_R2_cap3_Contig-6	2685	1.1	32.941000	85	acc:YP_007947990|polyprotein [avihepatovirus A1]	taxid:1006061|Avihepatovirus A|Avihepatovirus|Paavivirinae|Picornaviridae|Picornavirales|Pisoniviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-06-29
041215Madag01AD01_ATCACG_L005_R2	041215Madag01AD01_ATCACG_L005_R2_cap3_Contig-7	2344	2.28e-142	42.131000	610	acc:YP_010803544|RNAse l inhibitor RLI1 [Fadolivirus algeromassiliense]	taxid:3060017|Fadolivirus|Klosneuvirinae|Mimiviridae|Imitervirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-29
041215Madag01AD01_ATCACG_L005_R2	041215Madag01AD01_ATCACG_L005_R2_cap3_Contig-8	2225	0.69	28.571000	77	acc:NP_477837|wsv315 [Shrimp white spot syndrome virus]	taxid:92652|White spot syndrome virus|Whispovirus|Nimaviridae|Naldaviricetes	2024-06-29
041215Madag01AD01_ATCACG_L005_R2	041215Madag01AD01_ATCACG_L005_R2_cap3_Contig-9	2022	3.61e-47	33.542000	319	acc:YP_009949256|signal recognition particle protein, partial [Escherichia phage 500465-1]	taxid:2716351|Wadgaonvirus wv5004651|Wadgaonvirus|Peduoviridae|Caudoviricetes|Uroviricota|Heunggongvirae|Duplodnaviria	2024-06-29
041215Madag01AD01_ATCACG_L005_R2	041215Madag01AD01_ATCACG_L005_R2_cap3_Contig-10	1397	0.51	28.704000	108	acc:YP_010359182|hypothetical protein M1M48_gp50 [uncultured phage cr91_1]	taxid:2986403|Drivevirus gastrointestinalis|Drivevirus|Crudevirinae|Intestiviridae|Crassvirales|Caudoviricetes|Uroviricota|Heunggongvirae|Duplodnaviria	2024-06-29
041215Madag01AD01_ATCACG_L005_R2	041215Madag01AD01_ATCACG_L005_R2_cap3_Contig-11	1267	0.0	79.560000	318	acc:NP_619839|CPXV051 protein [Cowpox virus]	taxid:10243|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-29
041215Madag01AD01_ATCACG_L005_R2	041215Madag01AD01_ATCACG_L005_R2_cap3_Contig-12	1145	0.14	38.298000	47	acc:YP_010114824|hypothetical protein KNV77_gp006 [Klebsiella phage vB_KpnP_P184]	taxid:2806547|Efbeekayvirus P184|Efbeekayvirus|Schitoviridae|Caudoviricetes|Uroviricota|Heunggongvirae|Duplodnaviria	2024-06-29
041215Madag01AD01_ATCACG_L005_R2	041215Madag01AD01_ATCACG_L005_R2_cap3_Contig-13	1068	1.28e-38	46.358000	151	acc:YP_010802132|GTP binding nuclear protein Ran [Acanthamoeba castellanii medusavirus]	taxid:2080449|Viruses	2024-06-29
041215Madag01AD01_ATCACG_L005_R2	041215Madag01AD01_ATCACG_L005_R2_cap3_Contig-14	791	1.37e-24	36.842000	190	acc:YP_010778212|multidrug export ATPase/permease [Bodo saltans virus]	taxid:2024608|Theiavirus salishense|Theiavirus|Klosneuvirinae|Mimiviridae|Imitervirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-29
041215Madag01AD01_ATCACG_L005_R2	041215Madag01AD01_ATCACG_L005_R2_cap3_Contig-15	705	1.83e-49	47.682000	151	acc:YP_010085638|guanylate kinase [Akhmeta virus]	taxid:2200830|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-29
041215Madag01AD01_ATCACG_L005_R2	041215Madag01AD01_ATCACG_L005_R2_cap3_Contig-16	672	0.48	41.818000	55	acc:YP_009814425|nicotinamide-nucleotide adenylyltransferase [Lactobacillus phage Bromius]	taxid:2315485|Harbinvirus bromius|Harbinvirus|Herelleviridae|Caudoviricetes|Uroviricota|Heunggongvirae|Duplodnaviria	2024-06-29
