SRA_run	SRA_sample	SRA_study	host_taxon	host_taxid	num_hits	best_E	best_query	ViralRefSeq_E	ViralRefSeq_ident	ViralRefSeq_aLen/sLen	ViralRefSeq_contigs	ViralRefSeq_subject	ViralRefSeq_taxonomy	date_analyzed
SRR13364363	SRS7974789	SRP300585	Rhinolophus	49442	65	1.30e-16	Astro-Poty_RdRp	2.05e-81	80.5	369 / 518	17	NC_043103.1|Bat astrovirus Tm/Guangxi/LD38/2007 non-structural polyprotein 1AB (pol) gene, partial cds; and capsid protein precursor (ORF2) gene, complete cds	taxid:627576|Mamastrovirus 19|Mamastrovirus|Astroviridae|Stellavirales|Stelpaviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-08-15
SRR13364363	SRS7974789	SRP300585	Rhinolophus	49442	2	2.30e-16	Tymo_RdRp	5.65e-30	98.0	150 / 152	1	NC_003462.2|Apple stem pitting virus genes for RNA-dependent RNA polymerase, triple gene block ORFs and coat protein, complete cds	taxid:35350|Foveavirus|Quinvirinae|Betaflexiviridae|Tymovirales|Alsuviricetes|Kitrinoviricota|Orthornavirae|Riboviria	2024-08-15
SRR13364363	SRS7974789	SRP300585	Rhinolophus	49442	296	1.20e-15	Astro-Poty_RdRp	1.89e-151	79.5	777 / 779	62	NC_043102.1|Mamastrovirus 18 isolate AFCD337 polyprotein 1AB and polyprotein 1a genes, partial cds; and capsid protein precursor, gene, complete cds	taxid:1239582|Mamastrovirus|Astroviridae|Stellavirales|Stelpaviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-08-15
SRR13364363	SRS7974789	SRP300585	Rhinolophus	49442	1699	2.90e-15	Astro-Poty_RdRp	4.28e-139	65.1	903 / 911	4	NC_043100.1|Bat astrovirus Tm/Guangxi/LD77/2007 non-structural polyprotein 1AB (pol) gene, partial cds; and capsid protein precursor (ORF2) gene, complete cds	taxid:627585|Mamastrovirus 15|Mamastrovirus|Astroviridae|Stellavirales|Stelpaviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-08-15
SRR13364363	SRS7974789	SRP300585	Rhinolophus	49442	3	3.60e-14	Luteo-Sobemo_RdRp	2.04e-17	63.6	165 / 210	1	NC_032208.1|Hubei sobemo-like virus 15 strain tick96090 hypothetical protein 1 and hypothetical protein 2 genes, complete cds	taxid:1923200|Riboviria	2024-08-15
SRR13364363	SRS7974789	SRP300585	Rhinolophus	49442	7	9.10e-14	Tymo_RdRp	1.40e-62	69.2	399 / 403	1	NC_015522.1|Switchgrass mosaic virus, complete genome	taxid:1027869|Marafivirus|Tymoviridae|Tymovirales|Alsuviricetes|Kitrinoviricota|Orthornavirae|Riboviria	2024-08-15
SRR13364363	SRS7974789	SRP300585	Rhinolophus	49442	88	5.30e-13	Tombus-Noda_RdRp	1.22e-82	51.2	720 / 756	1	NC_004995.1|Pea stem necrosis virus, complete genome	taxid:199361|Gammacarmovirus pisi|Gammacarmovirus|Procedovirinae|Tombusviridae|Tolivirales|Tolucaviricetes|Kitrinoviricota|Orthornavirae|Riboviria	2024-08-15
SRR13364363	SRS7974789	SRP300585	Rhinolophus	49442	44	4.10e-12	NidoAstro_RdRp	0.00e+00	99.7	885 / 888	3	NC_010438.1|Miniopterus bat coronavirus HKU8, complete genome	taxid:694001|Minunacovirus|Alphacoronavirus|Orthocoronavirinae|Coronaviridae|Cornidovirineae|Nidovirales|Pisoniviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-08-15
SRR13364363	SRS7974789	SRP300585	Rhinolophus	49442	9	7.20e-11	Endorna_RdRp	3.41e-53	60.1	414 / 415	3	NC_040799.1|Helianthus annuus alphaendornavirus isolate BJ, complete genome	taxid:2184469|Alphaendornavirus|Endornaviridae|Martellivirales|Alsuviricetes|Kitrinoviricota|Orthornavirae|Riboviria	2024-08-15
SRR13364363	SRS7974789	SRP300585	Rhinolophus	49442	2	6.70e-10	Astro-Poty_RdRp	2.77e-13	66.0	141 / 150	2	NC_013060.1|Astrovirus VA1, complete genome	taxid:645687|Mamastrovirus 9|Mamastrovirus|Astroviridae|Stellavirales|Stelpaviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-08-15
