SRA_run	SRA_sample	SRA_study	host_taxon	host_taxid	num_hits	best_E	best_query	ViralRefSeq_E	ViralRefSeq_ident	ViralRefSeq_aLen/sLen	ViralRefSeq_contigs	ViralRefSeq_subject	ViralRefSeq_taxonomy	date_analyzed
ERR10565871	ERS14300537	ERP143068	Sus scrofa	9823	69	2.40e-09	Hepe-Virga_RdRp	1.23e-140	88.2	663 / 666	1	NC_074955.1|Paslahepevirus balayani nonstructural protein and structural viral protein genes, complete cds	taxid:1678143|Paslahepevirus|Orthohepevirinae|Hepeviridae|Hepelivirales|Alsuviricetes|Kitrinoviricota|Orthornavirae|Riboviria	2024-07-04
ERR10565871	ERS14300537	ERP143068	Sus scrofa	9823	3	5.90e+00	Delta_HDAg	1.30e-02	50.0	66 / 173	1	NC_033085.1|Beihai weivirus-like virus 9 strain BWBFG39428 RNA-dependent RNA polymerase and hypothetical protein genes, complete cds	taxid:1922756|Riboviria	2024-07-04
ERR10565871	ERS14300537	ERP143068	Sus scrofa	9823	1	7.10e+00	Delta_HDAg	5.20e-01	36.1	108 / 151	1	|N/A		2024-07-04
ERR10565979	ERS14300537	ERP143068	Sus scrofa	9823	18	2.60e-10	Hepe-Virga_RdRp	8.68e-68	88.8	348 / 349	2	NC_074955.1|Paslahepevirus balayani nonstructural protein and structural viral protein genes, complete cds	taxid:1678143|Paslahepevirus|Orthohepevirinae|Hepeviridae|Hepelivirales|Alsuviricetes|Kitrinoviricota|Orthornavirae|Riboviria	2024-07-04
ERR10565979	ERS14300537	ERP143068	Sus scrofa	9823	1	2.50e+00	Hepe-Virga_RdRp	1.10e-01	56.5	69 / 134	1	NC_032124.1|Shahe hepe-like virus 2 strain SHWC13612 hypothetical protein genes, complete cds	taxid:1923416|Riboviria	2024-07-04
ERR10565979	ERS14300537	ERP143068	Sus scrofa	9823	1	6.60e+00	Narna-Levi_RdRp	7.80e-02	44.4	81 / 151	1	NC_028470.1|Pleospora typhicola fusarivirus 1 175 kDa protein and 59 kDa protein genes, complete cds	taxid:1755785|Alphafusarivirus pleosporae|Alphafusarivirus|Fusariviridae|Durnavirales|Duplopiviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-07-04
ERR10565979	ERS14300537	ERP143068	Sus scrofa	9823	1	9.10e+00	Endorna_RdRp	7.10e-02	37.8	111 / 151	1	NC_038434.1|Pegivirus F isolate PDB-1698 polyprotein gene, complete cds	taxid:3052605|Pegivirus|Flaviviridae|Amarillovirales|Flasuviricetes|Kitrinoviricota|Orthornavirae|Riboviria	2024-07-04
ERR10566120	ERS14300452	ERP143068	Sus scrofa	9823	13	1.80e-09	Hepe-Virga_RdRp	2.22e-52	89.9	267 / 269	1	NC_001434.1|Hepatitis E virus, complete genome	taxid:291484|Hepeviridae|Hepelivirales|Alsuviricetes|Kitrinoviricota|Orthornavirae|Riboviria	2024-07-04
ERR10566120	ERS14300452	ERP143068	Sus scrofa	9823	22	1.30e-04	Hepe-Virga_RdRp	4.90e-60	86.7	294 / 296	2	NC_074955.1|Paslahepevirus balayani nonstructural protein and structural viral protein genes, complete cds	taxid:1678143|Paslahepevirus|Orthohepevirinae|Hepeviridae|Hepelivirales|Alsuviricetes|Kitrinoviricota|Orthornavirae|Riboviria	2024-07-04
ERR10566120	ERS14300452	ERP143068	Sus scrofa	9823	1	6.40e+00	Endorna_RdRp	7.10e-02	32.3	93 / 151	1	NC_003491.1|Beet mild yellowing virus, complete genome	taxid:156690|Polerovirus|Solemoviridae|Sobelivirales|Pisoniviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-07-04
ERR10566178	ERS14300452	ERP143068	Sus scrofa	9823	8	2.60e-09	Hepe-Virga_RdRp	6.12e-42	88.9	216 / 219	1	NC_001434.1|Hepatitis E virus, complete genome	taxid:291484|Hepeviridae|Hepelivirales|Alsuviricetes|Kitrinoviricota|Orthornavirae|Riboviria	2024-07-04
ERR10566178	ERS14300452	ERP143068	Sus scrofa	9823	18	8.60e-04	Hepe-Virga_RdRp	2.37e-84	83.6	420 / 420	1	NC_074955.1|Paslahepevirus balayani nonstructural protein and structural viral protein genes, complete cds	taxid:1678143|Paslahepevirus|Orthohepevirinae|Hepeviridae|Hepelivirales|Alsuviricetes|Kitrinoviricota|Orthornavirae|Riboviria	2024-07-04
ERR10566191	ERS14299752	ERP143068	Sus scrofa	9823	4	2.30e-08	Hepe-Virga_RdRp	1.87e-30	98.1	156 / 156	3	NC_001434.1|Hepatitis E virus, complete genome	taxid:291484|Hepeviridae|Hepelivirales|Alsuviricetes|Kitrinoviricota|Orthornavirae|Riboviria	2024-07-04
