run_id	num_hits	best_E	best_query	ViralRefSeq_E	ViralRefSeq_ident	ViralRefSeq_aLen/sLen	ViralRefSeq_contigs	ViralRefSeq_subject	ViralRefSeq_taxonomy	date_analyzed
041215Madag01AD01_ATCACG_L005_R1	2	7.40e+00	Luteo-Sobemo_RdRp	1.50e-01	33.3	99 / 136	1	NC_031747.1|White clover mottle virus genomic RNA, complete genome, strain: CD	taxid:1913024|Polerovirus|Solemoviridae|Sobelivirales|Pisoniviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-06-28
041215Madag02AD02_CGATGT_L005_R1	2	1.50e+00	Poty_RdRp	1.00e-03	42.4	99 / 137	1	NC_043167.1|Tuberose mild mosaic potyvirus polyprotein precursor gene, partial cds	taxid:101281|Potyvirus|Potyviridae|Patatavirales|Stelpaviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-06-28
041215Madag02AD02_CGATGT_L005_R1	1	7.30e+00	Luteo-Sobemo_RdRp	1.50e-01	33.3	99 / 126	1	NC_031747.1|White clover mottle virus genomic RNA, complete genome, strain: CD	taxid:1913024|Polerovirus|Solemoviridae|Sobelivirales|Pisoniviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-06-28
041215Madag02AD02_CGATGT_L005_R1	1	8.50e+00	Reo_RdRp	1.20e-02	37.5	96 / 126	1	NC_033129.1|Sanxia tombus-like virus 4 strain SXXX7002 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds	taxid:1923388|Riboviria	2024-06-28
041215Madag02AD02_CGATGT_L005_R2	1	3.20e+00	Poty_RdRp	1.00e-03	42.4	99 / 126	1	NC_043167.1|Tuberose mild mosaic potyvirus polyprotein precursor gene, partial cds	taxid:101281|Potyvirus|Potyviridae|Patatavirales|Stelpaviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-06-28
041215Madag02AD02_CGATGT_L005_R2	1	6.20e+00	Luteo-Sobemo_RdRp	1.50e-01	33.3	99 / 126	1	NC_031747.1|White clover mottle virus genomic RNA, complete genome, strain: CD	taxid:1913024|Polerovirus|Solemoviridae|Sobelivirales|Pisoniviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-06-28
041215Madag02AD02_CGATGT_L005_R2	1	7.20e+00	Narna-Levi_RdRp	1.00e-03	42.5	120 / 126	1	NC_031326.1|Simian retrovirus 8 strain SRV8/SUZ/2012, complete genome	taxid:1904439|Betaretrovirus|Orthoretrovirinae|Retroviridae|Ortervirales|Revtraviricetes|Artverviricota|Pararnavirae|Riboviria	2024-06-28
041215Madag03AD03_TTAGGC_L005_R1	1	6.30e+00	Luteo-Sobemo_RdRp	1.50e-01	33.3	99 / 126	1	NC_031747.1|White clover mottle virus genomic RNA, complete genome, strain: CD	taxid:1913024|Polerovirus|Solemoviridae|Sobelivirales|Pisoniviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-06-28
041215Madag03AD03_TTAGGC_L005_R1	1	9.10e+00	Tombus-Noda_RdRp	3.00e-02	57.1	63 / 126	1	NC_002201.1|Equine foamy virus, complete genome	taxid:109270|Equispumavirus|Spumaretrovirinae|Retroviridae|Ortervirales|Revtraviricetes|Artverviricota|Pararnavirae|Riboviria	2024-06-28
041215Madag03AD03_TTAGGC_L005_R2	1	4.30e+00	Endorna_RdRp	7.80e-02	37.5	96 / 126	1	NC_026136.1|Alternaria brassicicola endornavirus isolate 1, complete genome	taxid:1580606|Betaendornavirus|Endornaviridae|Martellivirales|Alsuviricetes|Kitrinoviricota|Orthornavirae|Riboviria	2024-06-28
041215Madag03AD03_TTAGGC_L005_R2	3	6.20e+00	Luteo-Sobemo_RdRp	1.50e-01	33.3	99 / 129	1	NC_031747.1|White clover mottle virus genomic RNA, complete genome, strain: CD	taxid:1913024|Polerovirus|Solemoviridae|Sobelivirales|Pisoniviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-06-28
041215Madag04AD04_TGACCA_L005_R2	1	5.30e+00	Picorna-Calici_RdRp	1.00e-03	42.1	114 / 126	1	NC_032459.1|Beihai hermit crab virus 1 strain BHWZXX15637 hypothetical protein 1 and hypothetical protein 2 genes, complete cds	taxid:1922388|Riboviria	2024-06-28
041215Madag04AD04_TGACCA_L005_R2	1	5.70e+00	New-Yanvirus_RdRp	2.00e-01	38.2	102 / 126	1	NC_021201.1|Turkey hepatitis virus 2993D polyprotein gene, complete cds	taxid:980964|Melegrivirus A|Megrivirus|Kodimesavirinae|Picornaviridae|Picornavirales|Pisoniviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-06-28
041215Madag04AD04_TGACCA_L005_R2	3	5.90e+00	Luteo-Sobemo_RdRp	1.50e-01	33.3	99 / 135	1	NC_031747.1|White clover mottle virus genomic RNA, complete genome, strain: CD	taxid:1913024|Polerovirus|Solemoviridae|Sobelivirales|Pisoniviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-06-28
041215Madag05AD05_ACAGTG_L005_R1	1	5.30e+00	Poty_RdRp	2.20e-02	43.5	69 / 126	1	NC_002509.2|Turnip mosaic virus, complete genome	taxid:12230|Potyvirus|Potyviridae|Patatavirales|Stelpaviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-06-28
041215Madag05AD05_ACAGTG_L005_R1	2	6.40e+00	Luteo-Sobemo_RdRp	1.50e-01	33.3	99 / 133	1	NC_031747.1|White clover mottle virus genomic RNA, complete genome, strain: CD	taxid:1913024|Polerovirus|Solemoviridae|Sobelivirales|Pisoniviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-06-28
041215Madag05AD05_ACAGTG_L005_R2	2	5.20e+00	Poty_RdRp	2.20e-02	43.5	69 / 128	1	NC_002509.2|Turnip mosaic virus, complete genome	taxid:12230|Potyvirus|Potyviridae|Patatavirales|Stelpaviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-06-28
041215Madag05AD05_ACAGTG_L005_R2	1	7.30e+00	Luteo-Sobemo_RdRp	1.50e-01	33.3	99 / 126	1	NC_031747.1|White clover mottle virus genomic RNA, complete genome, strain: CD	taxid:1913024|Polerovirus|Solemoviridae|Sobelivirales|Pisoniviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-06-28
041215Madag05AD05_ACAGTG_L005_R2	4	9.20e+00	Hepe-Virga_RdRp	7.80e-02	35.3	102 / 140	1	NC_076751.1|Plasmopara viticola lesion associated ourmia-like virus 16 isolate DMG-D_27335 RNA dependent RNA polymerase (QKR26_gp1) gene, complete cds	taxid:2686483|Magoulivirus miplasmoparae|Magoulivirus|Botourmiaviridae|Ourlivirales|Miaviricetes|Lenarviricota|Orthornavirae|Riboviria	2024-06-28
041215Madag06AD06_GCCAAT_L005_R1	1	5.50e+00	Poty_RdRp	2.20e-02	43.5	69 / 126	1	NC_002509.2|Turnip mosaic virus, complete genome	taxid:12230|Potyvirus|Potyviridae|Patatavirales|Stelpaviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-06-28
041215Madag06AD06_GCCAAT_L005_R1	2	6.70e+00	Luteo-Sobemo_RdRp	1.50e-01	33.3	99 / 138	1	NC_031747.1|White clover mottle virus genomic RNA, complete genome, strain: CD	taxid:1913024|Polerovirus|Solemoviridae|Sobelivirales|Pisoniviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-06-28
280116Madag02AD02_CGATGT_L005_R1	1	2.90e-01	New-Yanvirus_RdRp	2.80e-01	44.8	87 / 126	1	NC_016144.1|Lloviu cuevavirus isolate Lloviu virus/M.schreibersii-wt/ESP/2003/Asturias-Bat86, complete genome	taxid:3052148|Cuevavirus|Filoviridae|Mononegavirales|Monjiviricetes|Haploviricotina|Negarnaviricota|Orthornavirae|Riboviria	2024-06-28
280116Madag02AD02_CGATGT_L005_R1	3	5.20e+00	Luteo-Sobemo_RdRp	1.50e-01	33.3	99 / 134	1	NC_031747.1|White clover mottle virus genomic RNA, complete genome, strain: CD	taxid:1913024|Polerovirus|Solemoviridae|Sobelivirales|Pisoniviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-06-28
280116Madag02AD02_CGATGT_L005_R2	1	7.80e+00	Poty_RdRp	1.60e-02	42.3	78 / 126	1	NC_055506.1|Dioscorea mosaic virus isolate DMV-FL, complete genome	taxid:2491019|Potyvirus|Potyviridae|Patatavirales|Stelpaviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-06-28
280116Madag02AD02_CGATGT_L005_R2	1	9.10e+00	Reo_RdRp	1.10e-01	57.7	78 / 126	1	NC_055534.1|Apple rubbery wood virus 2 isolate R12 segment L RNA-dependent RNA polymerase (RdRp) gene, complete cds	taxid:2164103|Rubodvirus prosserense|Rubodvirus|Phenuiviridae|Bunyavirales|Ellioviricetes|Polyploviricotina|Negarnaviricota|Orthornavirae|Riboviria	2024-06-28
280116Madag03AD03_TTAGGC_L005_R1	4	5.30e+00	Luteo-Sobemo_RdRp	1.50e-01	33.3	99 / 139	1	NC_031747.1|White clover mottle virus genomic RNA, complete genome, strain: CD	taxid:1913024|Polerovirus|Solemoviridae|Sobelivirales|Pisoniviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-06-28
280116Madag03AD03_TTAGGC_L005_R2	1	7.20e+00	New-Qinvirus_RdRp	2.20e-02	40.6	96 / 126	1	NC_076217.1|Wenling chelidoperca picornavirus strain LXMC188591 polyprotein (QKL90_gp1) gene, complete cds	taxid:2116197|Fipivirus F|Fipivirus|Heptrevirinae|Picornaviridae|Picornavirales|Pisoniviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-06-28
280116Madag03AD03_TTAGGC_L005_R2	1	9.20e+00	Reo_RdRp	1.10e-01	57.7	78 / 126	1	NC_055534.1|Apple rubbery wood virus 2 isolate R12 segment L RNA-dependent RNA polymerase (RdRp) gene, complete cds	taxid:2164103|Rubodvirus prosserense|Rubodvirus|Phenuiviridae|Bunyavirales|Ellioviricetes|Polyploviricotina|Negarnaviricota|Orthornavirae|Riboviria	2024-06-28
280116Madag04AD04_TGACCA_L005_R2	1	8.50e+00	Hepe-Virga_RdRp	1.50e-01	42.9	84 / 126	1	NC_033222.1|Hubei virga-like virus 17 strain QTM23703 RdRp and hypothetical protein genes, complete cds	taxid:1923332|Riboviria	2024-06-28
280116Madag04AD04_TGACCA_L005_R2	1	8.70e+00	Reo_RdRp	1.10e-01	57.7	78 / 126	1	NC_055534.1|Apple rubbery wood virus 2 isolate R12 segment L RNA-dependent RNA polymerase (RdRp) gene, complete cds	taxid:2164103|Rubodvirus prosserense|Rubodvirus|Phenuiviridae|Bunyavirales|Ellioviricetes|Polyploviricotina|Negarnaviricota|Orthornavirae|Riboviria	2024-06-28
280116Madag05AD05_ACAGTG_L005_R1	1	1.10e+00	Reo_RdRp	8.00e-03	43.5	69 / 126	1	NC_038752.1|RNA4: NCP=non-capsid protein, NS4=non-structural protein NS4 [maize stripe virus MStV, Genomic RNA Complete, 2227 nt]	taxid:3052767|Tenuivirus|Phenuiviridae|Bunyavirales|Ellioviricetes|Polyploviricotina|Negarnaviricota|Orthornavirae|Riboviria	2024-06-28
