SRA_run	SRA_sample	SRA_study	host_taxon	host_taxid	contig_id	contig_len	ViralRefSeq_E	ViralRefSeq_ident	ViralRefSeq_aLen	ViralRefSeq_subject	ViralRefSeq_taxonomy	date_analyzed
ERR10568125	ERS14300485	ERP143068	Sus scrofa	9823	ERR10568125_cap3_Contig-1	900	0.0	86.170000	282	acc:YP_006546269|3D [Pasivirus A1]	taxid:1511784|Pasivirus A|Pasivirus|Paavivirinae|Picornaviridae|Picornavirales|Pisoniviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-07-29
ERR10568125	ERS14300485	ERP143068	Sus scrofa	9823	ERR10568125_cap3_Contig-2	383	3.04e-67	77.165000	127	acc:YP_006546269|3D [Pasivirus A1]	taxid:1511784|Pasivirus A|Pasivirus|Paavivirinae|Picornaviridae|Picornavirales|Pisoniviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-07-29
ERR10568125	ERS14300485	ERP143068	Sus scrofa	9823	ERR10568125_cap3_Contig-3	190	0.43	61.538000	26	acc:YP_010798258|delta antigen [Rodent deltavirus]	taxid:2751480|Deltavirus|Kolmioviridae|Ribozyviria	2024-07-29
ERR10568413	ERS14300485	ERP143068	Sus scrofa	9823	ERR10568413_cap3_Contig-1	1624	2.44e-70	35.396000	404	acc:YP_010648642|hypothetical protein PP301_gp125 [Gordonia phage GMA2]	taxid:1647283|Gimaduovirus GMA2|Gimaduovirus|Caudoviricetes|Uroviricota|Heunggongvirae|Duplodnaviria	2024-07-29
ERR10568413	ERS14300485	ERP143068	Sus scrofa	9823	ERR10568413_cap3_Contig-2	1150	7.33e-10	25.234000	214	acc:YP_010803261|tubulin-tyrosine ligase/tubulin polyglutamylase [Fadolivirus algeromassiliense]	taxid:3060017|Fadolivirus|Klosneuvirinae|Mimiviridae|Imitervirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-07-29
ERR10568413	ERS14300485	ERP143068	Sus scrofa	9823	ERR10568413_cap3_Contig-3	373	2.59e-73	85.484000	124	acc:YP_006546269|3D [Pasivirus A1]	taxid:1511784|Pasivirus A|Pasivirus|Paavivirinae|Picornaviridae|Picornavirales|Pisoniviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-07-29
ERR6109872	ERS6987163	ERP130049	Chlorocebus sabaeus	60711	ERR6109872_cap3_Contig-1	121	3.49e-11	82.353000	34	acc:NP_740602|nsp9 (RdRp) [Porcine reproductive and respiratory syndrome virus]	taxid:28344|Betaarterivirus suid 2|Ampobartevirus|Betaarterivirus|Variarterivirinae|Arteriviridae|Arnidovirineae|Nidovirales|Pisoniviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-07-30
ERR6109872	ERS6987163	ERP130049	Chlorocebus sabaeus	60711	ERR6109872_cap3_Contig-2	116	1.09e-11	78.125000	32	acc:YP_009505548|1ab replicase, partial [Porcine reproductive and respiratory syndrome virus 2]	taxid:1965067|Betaarterivirus suid 2|Ampobartevirus|Betaarterivirus|Variarterivirinae|Arteriviridae|Arnidovirineae|Nidovirales|Pisoniviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-07-30
ERR6109872	ERS6987163	ERP130049	Chlorocebus sabaeus	60711	ERR6109872_cap3_Contig-3	109	2.99e-07	78.261000	23	acc:NP_740602|nsp9 (RdRp) [Porcine reproductive and respiratory syndrome virus]	taxid:28344|Betaarterivirus suid 2|Ampobartevirus|Betaarterivirus|Variarterivirinae|Arteriviridae|Arnidovirineae|Nidovirales|Pisoniviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-07-30
ERR6109872	ERS6987163	ERP130049	Chlorocebus sabaeus	60711	ERR6109872_cap3_Contig-4	107	2.46e-11	92.593000	27	acc:NP_740602|nsp9 (RdRp) [Porcine reproductive and respiratory syndrome virus]	taxid:28344|Betaarterivirus suid 2|Ampobartevirus|Betaarterivirus|Variarterivirinae|Arteriviridae|Arnidovirineae|Nidovirales|Pisoniviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-07-30
