SRA_run	SRA_sample	SRA_study	host_taxon	host_taxid	num_hits	best_E	best_query	ViralRefSeq_E	ViralRefSeq_ident	ViralRefSeq_aLen/sLen	ViralRefSeq_contigs	ViralRefSeq_subject	ViralRefSeq_taxonomy	date_analyzed
ERR6509773	ERS7263349	ERP131230	Bos taurus	9913	4	1.50e-07	Tombus-Noda_RdRp	3.00e-14	73.0	111 / 122	2	NC_033439.1|Wenzhou tombus-like virus 5 strain WZFSL67420 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds	taxid:1923675|Riboviria	2024-07-09
ERR6509773	ERS7263349	ERP131230	Bos taurus	9913	1	4.10e-05	Negative_Mono-Chu_RdRp	1.15e-22	76.0	150 / 151	1	NC_005283.1|Dolphin morbillivirus, complete genome	taxid:37131|Morbillivirus ceti|Morbillivirus|Orthoparamyxovirinae|Paramyxoviridae|Mononegavirales|Monjiviricetes|Haploviricotina|Negarnaviricota|Orthornavirae|Riboviria	2024-07-09
ERR6509773	ERS7263349	ERP131230	Bos taurus	9913	2	1.00e-04	Tombus-Noda_RdRp	3.26e-15	75.0	108 / 113	1	NC_033161.1|Changjiang tombus-like virus 9 strain CJLX30737 hypothetical protein 1 and hypothetical protein 2 genes, complete cds	taxid:1922823|Riboviria	2024-07-09
ERR6509773	ERS7263349	ERP131230	Bos taurus	9913	2	6.80e-04	Toti-Chryso_RdRp	4.49e-11	82.1	84 / 86	1	NC_001641.1|Saccharomyces cerevisiae virus L-BC (La), complete genome	taxid:42478|Saccharomyces cerevisiae virus LBCLa|Totivirus|Totiviridae|Ghabrivirales|Chrymotiviricetes|Duplornaviricota|Orthornavirae|Riboviria	2024-07-09
ERR6509773	ERS7263349	ERP131230	Bos taurus	9913	6	8.10e-03	Negative_Mono-Chu_RdRp	1.51e-36	74.0	219 / 221	1	NC_001498.1|Measles virus, complete genome	taxid:11234|Morbillivirus hominis|Morbillivirus|Orthoparamyxovirinae|Paramyxoviridae|Mononegavirales|Monjiviricetes|Haploviricotina|Negarnaviricota|Orthornavirae|Riboviria	2024-07-09
ERR6509773	ERS7263349	ERP131230	Bos taurus	9913	1	9.00e+00	Delta_HDAg	5.20e-01	37.8	111 / 151	1	NC_028367.1|Tacheng tick virus 8 strain TCP-2 polyprotein gene, complete cds	taxid:1746065|Riboviria	2024-07-09
ERR6509773	ERS7263349	ERP131230	Bos taurus	9913	1	9.20e+00	Negative_Mono-Chu_RdRp	1.35e-20	74.0	150 / 151	1	NC_076941.1|Ruloma virus isolate TA502, complete genome	taxid:2811341|Jeilongvirus rungweense|Jeilongvirus|Orthoparamyxovirinae|Paramyxoviridae|Mononegavirales|Monjiviricetes|Haploviricotina|Negarnaviricota|Orthornavirae|Riboviria	2024-07-09
SRR12001320	SRS6829728	SRP267007	Chiroptera	9397	45	9.60e-15	Tymo_RdRp	2.35e-34	69.5	246 / 372	1	NC_001977.1|Erysimum latent virus, complete genome	taxid:12152|Tymovirus erysimi|Tymovirus|Tymoviridae|Tymovirales|Alsuviricetes|Kitrinoviricota|Orthornavirae|Riboviria	2024-07-10
SRR12001320	SRS6829728	SRP267007	Chiroptera	9397	18	2.10e-13	Negative_Bunya-Arena_RdRp	6.56e-30	47.6	189 / 432	1	NC_079008.1|Solenopsis invicta virus 14 isolate B:Missipi genomic sequence	taxid:2810810|Horwuvirus solenopsidis|Horwuvirus|Phenuiviridae|Bunyavirales|Ellioviricetes|Polyploviricotina|Negarnaviricota|Orthornavirae|Riboviria	2024-07-10
SRR12001320	SRS6829728	SRP267007	Chiroptera	9397	34	1.50e-10	Tombus-Noda_RdRp	3.26e-31	55.6	297 / 561	2	NC_033202.1|Beihai tombus-like virus 15 strain BHBJDX18752 hypothetical protein 1 and hypothetical protein 2 genes, complete cds	taxid:1922718|Riboviria	2024-07-10
SRR12001320	SRS6829728	SRP267007	Chiroptera	9397	115	2.50e-10	Negative_Mono-Chu_RdRp	2.08e-29	71.7	159 / 403	2	NC_076875.1|Blattodean arli-related virus OKIAV102 genomic sequence	taxid:2746352|Supelovirus thailandense|Supelovirus|Lispiviridae|Mononegavirales|Monjiviricetes|Haploviricotina|Negarnaviricota|Orthornavirae|Riboviria	2024-07-10
SRR12001320	SRS6829728	SRP267007	Chiroptera	9397	4	7.40e-10	Tombus-Noda_RdRp	2.72e-19	52.2	207 / 227	2	NC_032927.1|Hubei tombus-like virus 19 strain WHCCII13323 hypothetical protein 1, hypothetical protein 2, hypothetical protein 3, and hypothetical protein 4 genes, complete cds	taxid:1923265|Riboviria	2024-07-10
SRR12001320	SRS6829728	SRP267007	Chiroptera	9397	5	1.30e-09	Permutotetra_RdRp	4.52e-17	75.0	120 / 174	1	NC_033097.1|Hubei permutotetra-like virus 11 strain mosHB234479 RdRp and putative capsid protein genes, complete cds	taxid:1923075|Riboviria	2024-07-10
SRR12001320	SRS6829728	SRP267007	Chiroptera	9397	232	2.80e-08	Picorna-Calici_RdRp	2.17e-46	63.7	339 / 356	3	NC_033136.1|Hubei picorna-like virus 43 strain QTM27027 hypothetical protein gene, complete cds	taxid:1923124|Riboviria	2024-07-10
SRR12001320	SRS6829728	SRP267007	Chiroptera	9397	64	6.70e-08	Partiti-Picobirna_RdRp	8.42e-07	57.6	99 / 293	1	NC_005976.2|Penicillium stoloniferum virus S segment 1, complete genome	taxid:216371|Gammapartitivirus|Partitiviridae|Durnavirales|Duplopiviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-07-10
SRR12001320	SRS6829728	SRP267007	Chiroptera	9397	110	2.20e-07	Picorna-Calici_RdRp	2.87e-70	87.9	348 / 426	3	NC_023483.1|Antheraea pernyi iflavirus isolate LnApIV-02, complete genome	taxid:1460071|Iflavirus vomitus|Iflavirus|Iflaviridae|Picornavirales|Pisoniviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-07-10
SRR12001320	SRS6829728	SRP267007	Chiroptera	9397	32	1.60e-06	Partiti-Picobirna_RdRp	2.12e-05	69.2	78 / 216	2	NC_033313.1|Hubei tetragnatha maxillosa virus 8 strain arthropodmix13417 segment Seg 1 RdRp gene, complete cds	taxid:1923250|Riboviria	2024-07-10
SRR12001320	SRS6829728	SRP267007	Chiroptera	9397	19	4.60e-06	Endorna_RdRp	3.28e-19	46.2	240 / 444	1	NC_040588.1|Diatom colony associated dsRNA virus 15 genomic RNA, complete genome	taxid:1678175|Endornaviridae|Martellivirales|Alsuviricetes|Kitrinoviricota|Orthornavirae|Riboviria	2024-07-10
SRR12001320	SRS6829728	SRP267007	Chiroptera	9397	44	4.90e-06	Picorna-Calici_RdRp	1.28e-33	63.6	264 / 271	1	NC_032218.1|Hubei myriapoda virus 1 strain WGML505798 hypothetical protein gene, complete cds	taxid:1922930|Riboviria	2024-07-10
SRR12001320	SRS6829728	SRP267007	Chiroptera	9397	94	5.00e-06	Picorna-Calici_RdRp	9.30e-68	84.2	360 / 362	4	NC_032994.1|Shuangao insect virus 12 strain insectZJ98124 hypothetical protein gene, complete cds	taxid:1923468|Riboviria	2024-07-10
SRR12001320	SRS6829728	SRP267007	Chiroptera	9397	351	1.00e-05	Picorna-Calici_RdRp	1.06e-42	50.4	405 / 414	3	NC_033227.1|Hubei picorna-like virus 22 strain WHSF7472 hypothetical protein 1 and hypothetical protein 2 genes, complete cds	taxid:1923102|Riboviria	2024-07-10
SRR12001320	SRS6829728	SRP267007	Chiroptera	9397	224	2.50e-05	Picorna-Calici_RdRp	1.36e-86	99.2	399 / 400	1	NC_038961.1|Shanbavirus A isolate BtMf-PicoV-1/SAX2011 polyprotein gene, complete cds	taxid:2170191|Shanbavirus|Paavivirinae|Picornaviridae|Picornavirales|Pisoniviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-07-10
SRR12001320	SRS6829728	SRP267007	Chiroptera	9397	59	2.70e-05	Partiti-Picobirna_RdRp	2.12e-39	64.9	291 / 513	5	NC_032146.1|Wuhan insect virus 23 strain WHCCII13263 segment Seg 1 RdRp gene, complete cds	taxid:1923727|Riboviria	2024-07-10
SRR12001320	SRS6829728	SRP267007	Chiroptera	9397	11	3.00e-05	Tombus-Noda_RdRp	2.10e-09	40.0	195 / 249	1	NC_033092.1|Sanxia water strider virus 14 strain SXSSP2565 hypothetical protein 1, hypothetical protein 2, hypothetical protein 3, and hypothetical protein 4 genes, complete cds	taxid:1923398|Riboviria	2024-07-10
SRR12001320	SRS6829728	SRP267007	Chiroptera	9397	24	3.10e-05	Partiti-Picobirna_RdRp	2.70e-08	74.1	81 / 192	3	NC_038843.1|Cryptosporidium parvum virus 1 strain Iowa segment dsRNA1, complete sequence	taxid:675060|Cryspovirus|Partitiviridae|Durnavirales|Duplopiviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-07-10
SRR12001320	SRS6829728	SRP267007	Chiroptera	9397	6241	3.80e-05	Picorna-Calici_RdRp	5.15e-51	68.9	366 / 392	41	NC_036585.1|Armigeres iflavirus gene for polyprotein, complete cds, strain: 10P38-310	taxid:2018471|Iflavirus|Iflaviridae|Picornavirales|Pisoniviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-07-10
SRR12001320	SRS6829728	SRP267007	Chiroptera	9397	400	1.20e-04	Picorna-Calici_RdRp	2.53e-33	91.4	174 / 335	6	NC_033462.1|Wuhan fly virus 4 strain fly116586 hypothetical protein gene, complete cds	taxid:1923698|Riboviria	2024-07-10
SRR12001320	SRS6829728	SRP267007	Chiroptera	9397	2614	3.60e-04	Picorna-Calici_RdRp	6.29e-63	66.9	444 / 448	30	NC_040587.1|Yongsan iflavirus 1 strain A16.2047/ROK/2016 polyprotein gene, complete cds	taxid:2315809|Iflaviridae|Picornavirales|Pisoniviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-07-10
SRR12001320	SRS6829728	SRP267007	Chiroptera	9397	21	4.80e-04	Picorna-Calici_RdRp	3.92e-64	78.3	360 / 383	1	NC_015940.1|Bat picornavirus 1, complete genome	taxid:1074863|Picornaviridae|Picornavirales|Pisoniviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-07-10
SRR12001320	SRS6829728	SRP267007	Chiroptera	9397	86	5.20e-04	Picorna-Calici_RdRp	8.82e-16	43.2	132 / 365	1	NC_033030.1|Hubei coleoptera virus 1 strain QCM131202 hypothetical protein gene, complete cds	taxid:1922860|Riboviria	2024-07-10
SRR12001320	SRS6829728	SRP267007	Chiroptera	9397	1	1.20e-03	NidoAstro_RdRp	7.86e-05	50.0	84 / 151	1	NC_003874.1|Zygosaccharomyces bailii virus Z, complete genome	taxid:114871|Zybavirus bailii|Zybavirus|Amalgaviridae|Durnavirales|Duplopiviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-07-10
