SRA_run	SRA_sample	SRA_study	host_taxon	host_taxid	contig_id	contig_len	ViralRefSeq_E	ViralRefSeq_ident	ViralRefSeq_aLen	ViralRefSeq_subject	ViralRefSeq_taxonomy	date_analyzed
ERR9930706	ERS12426080	ERP139489	Bos taurus	9913	ERR9930706_cap3_Contig-1	286	3.40e-61	100.000000	95	acc:YP_009449556|polymerase PB1 [Influenza D virus (D/swine/Oklahoma/1334/2011)]	taxid:1173138|Deltainfluenzavirus influenzae|Deltainfluenzavirus|Orthomyxoviridae|Articulavirales|Insthoviricetes|Polyploviricotina|Negarnaviricota|Orthornavirae|Riboviria	2024-07-20
ERR9930706	ERS12426080	ERP139489	Bos taurus	9913	ERR9930706_cap3_Contig-2	168	6.38e-31	100.000000	55	acc:YP_009449556|polymerase PB1 [Influenza D virus (D/swine/Oklahoma/1334/2011)]	taxid:1173138|Deltainfluenzavirus influenzae|Deltainfluenzavirus|Orthomyxoviridae|Articulavirales|Insthoviricetes|Polyploviricotina|Negarnaviricota|Orthornavirae|Riboviria	2024-07-20
SRR14270232	SRS8728153	SRP315267	Rattus norvegicus	10116	SRR14270232_cap3_Contig-1	4585	1.19e-105	37.132000	544	acc:YP_010649013|Ro-like RNA binding protein [Gordonia phage Forza]	taxid:2571247|Forzavirus forza|Forzavirus|Caudoviricetes|Uroviricota|Heunggongvirae|Duplodnaviria	2024-07-20
SRR14270232	SRS8728153	SRP315267	Rattus norvegicus	10116	SRR14270232_cap3_Contig-2	919	1.74e-100	50.974000	308	acc:YP_010840745|L protein [Browner virus]	taxid:2600347|Mobuvirus stephanocirci|Mobuvirus|Phenuiviridae|Bunyavirales|Ellioviricetes|Polyploviricotina|Negarnaviricota|Orthornavirae|Riboviria	2024-07-20
SRR14270232	SRS8728153	SRP315267	Rattus norvegicus	10116	SRR14270232_cap3_Contig-3	300	3.70e-33	66.265000	83	acc:YP_010840745|L protein [Browner virus]	taxid:2600347|Mobuvirus stephanocirci|Mobuvirus|Phenuiviridae|Bunyavirales|Ellioviricetes|Polyploviricotina|Negarnaviricota|Orthornavirae|Riboviria	2024-07-20
SRR14270232	SRS8728153	SRP315267	Rattus norvegicus	10116	SRR14270232_cap3_Contig-4	238	4.30e-12	49.091000	55	acc:YP_009342439|hypothetical protein [Wuhan house centipede virus 9]	taxid:1923713|Riboviria	2024-07-20
SRR22372224	SRS15831848	SRP409135	Canis lupus familiaris	9615	SRR22372224_cap3_Contig-1	782	6.94e-171	96.721000	244	acc:YP_308665|polymerase [Influenza A virus (A/goose/Guangdong/1/1996(H5N1))]	taxid:93838|Alphainfluenzavirus influenzae|Alphainfluenzavirus|Orthomyxoviridae|Articulavirales|Insthoviricetes|Polyploviricotina|Negarnaviricota|Orthornavirae|Riboviria	2024-07-20
SRR22372224	SRS15831848	SRP409135	Canis lupus familiaris	9615	SRR22372224_cap3_Contig-2	545	1.69e-111	96.532000	173	acc:YP_308665|polymerase [Influenza A virus (A/goose/Guangdong/1/1996(H5N1))]	taxid:93838|Alphainfluenzavirus influenzae|Alphainfluenzavirus|Orthomyxoviridae|Articulavirales|Insthoviricetes|Polyploviricotina|Negarnaviricota|Orthornavirae|Riboviria	2024-07-20
SRR22372225	SRS15831847	SRP409135	Canis lupus familiaris	9615	SRR22372225_cap3_Contig-1	693	6.00e-91	82.648000	219	acc:NP_859040|polymerase Pb1 [Influenza A virus (A/Hong Kong/1073/99(H9N2))]	taxid:130760|Alphainfluenzavirus influenzae|Alphainfluenzavirus|Orthomyxoviridae|Articulavirales|Insthoviricetes|Polyploviricotina|Negarnaviricota|Orthornavirae|Riboviria	2024-07-20
SRR22372225	SRS15831847	SRP409135	Canis lupus familiaris	9615	SRR22372225_cap3_Contig-2	190	6.29e-31	98.182000	55	acc:YP_009118471|polymerase PB1 [Influenza A virus (A/Shanghai/02/2013(H7N9))]	taxid:1332244|Alphainfluenzavirus influenzae|Alphainfluenzavirus|Orthomyxoviridae|Articulavirales|Insthoviricetes|Polyploviricotina|Negarnaviricota|Orthornavirae|Riboviria	2024-07-20
SRR22372225	SRS15831847	SRP409135	Canis lupus familiaris	9615	SRR22372225_cap3_Contig-3	175	2.06e-22	97.727000	44	acc:YP_009118628|polymerase PB1 [Influenza A virus (A/California/07/2009(H1N1))]	taxid:641809|Alphainfluenzavirus influenzae|Alphainfluenzavirus|Orthomyxoviridae|Articulavirales|Insthoviricetes|Polyploviricotina|Negarnaviricota|Orthornavirae|Riboviria	2024-07-20
SRR22372225	SRS15831847	SRP409135	Canis lupus familiaris	9615	SRR22372225_cap3_Contig-4	168	1.03e-24	94.000000	50	acc:YP_308847|polymerase PB1 [Influenza A virus (A/New York/392/2004(H3N2))]	taxid:335341|Alphainfluenzavirus influenzae|Alphainfluenzavirus|Orthomyxoviridae|Articulavirales|Insthoviricetes|Polyploviricotina|Negarnaviricota|Orthornavirae|Riboviria	2024-07-20
SRR22372225	SRS15831847	SRP409135	Canis lupus familiaris	9615	SRR22372225_cap3_Contig-5	164	2.72e-16	94.595000	37	acc:YP_308851|PB1 polymerase subunit [Influenza A virus (A/Korea/426/1968(H2N2))]	taxid:488241|Alphainfluenzavirus influenzae|Alphainfluenzavirus|Orthomyxoviridae|Articulavirales|Insthoviricetes|Polyploviricotina|Negarnaviricota|Orthornavirae|Riboviria	2024-07-20
